Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11
1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0
-0.28994394002358,2.157032542928089,-0.1774585074559745,-0.1017547425581119,-0.4252509093942576,1.2765269618390964,0.1941420497674108,-0.3896909992430028,0.2363974260380413,0.1356667611660335,0.5153114228650453
-0.3040937540855618,2.066376118917215,-0.1840308673372461,-0.0184905803045472,-0.2381453702111801,1.208292455151099,0.1560139043638124,-0.4062720825079096,0.1820407156261725,0.2203887063977712,0.5240128514989014
-0.3184194458829109,1.9580319863152933,-0.1936670360184006,0.0629742579945806,-0.0500317162276157,1.1417339181157604,0.1263863013458349,-0.4182278613615959,0.1326897978193333,0.2991317708153089,0.5278617037647275
-0.3332310027849802,1.832589395092684,-0.2063805558363841,0.1409518295093064,0.1362546788095386,1.077614431367252,0.1053591202516941,-0.4263858130582473,0.088612208395998,0.3711526336124289,0.5268136658545093
-0.3488494154634872,1.6909583207351329,-0.2221662960330692,0.213836648554227,0.3179466738207639,1.0165290546812114,0.0927764316648301,-0.4316427019867146,0.0499191889423432,0.4358708169830869,0.520930228311422
-0.3655960136334897,1.5343597659470871,-0.2410041955963723,0.2801529501209143,0.4924344363281007,0.9589045698167672,0.0882377261261882,-0.4349350442830872,0.0165768259849764,0.4928746500391024,0.510372550500662
-0.3837805852582203,1.364306553693292,-0.2628617296528674,0.3385972854284144,0.6573467754917994,0.9050035440843434,0.0911156870840308,-0.4372098474880733,-0.0115800404185995,0.5419221805805693,0.4953931418920977
-0.4036884832946342,1.1825750587320196,-0.2876949212536103,0.388074880837107,0.8106207787649395,0.8549323124957819,0.1005799523575196,-0.4393961824066535,-0.0348318576558507,0.5829373415358856,0.4763257359489967
-0.4255669790159189,0.99116869167556,-0.3154477969302335,0.4277285116828075,0.9505566865802988,0.8086524049188982,0.115626129950182,-0.4423780576304948,-0.0535570621113931,0.6160018080069427,0.4535737496189899
-0.4496111793078571,0.7922742591673044,-0.3460502638599464,0.4569590093972365,1.0758560088286335,0.7659948932692366,0.1351091851522238,-0.4469689878448367,-0.0682141115116266,0.6413430818621678,0.4275977249256421
-0.475949886766532,0.5882125708255961,-0.3794144678547182,0.4754369078786113,1.185642009812789,0.7266771041486034,0.1577802027165585,-0.453888580692792,-0.079323448804469,0.6593194140119577,0.3989021409499355
-0.5046318437378682,0.3813848488937034,-0.4154297740624711,0.4831051188972445,1.279462749713283,0.6903211344172445,0.1823254540088512,-0.4637414174096831,-0.087449905644378,0.670402221454214,0.3680219669971953
-0.5356128607867733,0.1742166222022393,-0.4539565958344028,0.4801728850104307,1.3572777883585745,0.6564736190539693,0.2074066652672453,-0.4769984715255732,-0.0931859446179951,0.6751566792362361,0.3355093038071134
-0.5687443814670249,-0.0308991465755253,-0.4948193810766856,0.4671015756605276,1.419430387292851,0.6246262290810053,0.2317013877272091,-0.4939812972997439,-0.097136022127676,0.6742211688295505,0.3019204318986777
-0.6037640730123451,-0.231657941166028,-0.5377991480638296,0.4445831575922382,1.4666075750522891,0.5942364181958243,0.2539424093551896,-0.5148492225812942,-0.0999022365717592,0.668286245634873,0.2678035557947031
-0.6402890509181706,-0.4258968626826763,-0.5826260413083478,0.4135123799667527,1.499790773649558,0.5647479853536203,0.272955215438282,-0.5395897950341066,-0.1020713166233175,0.658073751070087,0.2336874994349787
