Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
-0.0418147810627991,0.219869619503671,-0.0733372432058138,0.1743127795584596,0.0083525317296578,-0.0639143437274412,-0.0521476105619036,-0.1150643208663309,-0.0651922062202566,0.0206236882269657,-0.0541431368849488,0.1913819933692244,-0.092424889309216,0.2357792482087047,-0.014991478427529,0.0944357917129833,-0.0082607306809334,0.0317009512138713,-0.019929497864528,-0.0352823822335286,-0.1438166029956741,0.0624789504851487,0.4516169226115128,-0.0487593336748664
-0.0437892290342425,0.2221595260256637,-0.0797272170433967,0.188834331609786,0.0074093563824107,-0.0376600101909304,-0.0557004231630802,-0.0929653603512249,-0.0669334280194048,0.0471717483537949,-0.0551443752714275,0.2094664364323669,-0.0940623646104699,0.2333317495712665,-0.0233953770154442,0.0806205648056044,-0.0072152667405312,0.0309380434104326,-0.0200320227244426,-0.0197773688696162,-0.143509580629182,0.0605305267727099,0.4555687538110392,-0.0432278235847756
-0.0458004661883846,0.2212641278506207,-0.0869166379610819,0.200428282862957,0.0063877006720254,-0.0107925625197965,-0.0583417097362786,-0.0690121359583094,-0.0680155860633257,0.0730900262043633,-0.0564769977570924,0.2252006288530152,-0.0963159275174771,0.2276191947627644,-0.0319593992385611,0.067471852795657,-0.0064759697546159,0.0301795907575736,-0.0201257159852704,-0.0045929843601339,-0.1432505812668181,0.0596462746413073,0.4590911451329834,-0.0359371051170325
-0.0478324882551844,0.2172930526011064,-0.0948643207870565,0.2089292948642672,0.0051409530049768,0.0162164037422094,-0.0602652245798669,-0.0435715199168817,-0.0686321344047872,0.0978865282546431,-0.0582765389544937,0.2382934723495741,-0.0992377552499047,0.2188607806957721,-0.0404928980067176,0.0551715005153942,-0.0060993466356004,0.029425635346138,-0.0202093556101667,0.0100557738871446,-0.1430290515544567,0.0596754404155867,0.4619821190275122,-0.026913335649438
-0.0498666505460877,0.2104214634867709,-0.1034996702579143,0.2142445460984734,0.0035377858518576,0.042877694464455,-0.0616686605998631,-0.017062636951137,-0.0689744352584327,0.121089119134159,-0.0606576141286998,0.2485175912228356,-0.1028564960844662,0.2073351148396295,-0.0487856700451054,0.04386171332766,-0.0061333508368745,0.0286762247150558,-0.0202821870346382,0.0239662381164106,-0.1428329677414445,0.0604521938218527,0.464059346688025,-0.0162275574236467
-0.0518813954935267,0.2008831803312955,-0.1127221610158391,0.216354839177525,0.0014643331147147,0.068698325505561,-0.0627484784531109,0.0100534281613285,-0.0692274052059317,0.1422591717138789,-0.0637110965723086,0.2557148534853474,-0.1071757919413026,0.1933704029018778,-0.0566120472598287,0.0336440119545534,-0.0066140504459862,0.0279314096594896,-0.020343909569383,0.0369530439686812,-0.1426490967834451,0.0618007937352143,0.4651637746438843,-0.0039960339279732
-0.0538521154703746,0.1889622659372697,-0.1224012223300361,0.215313394613537,-0.0011739214051388,0.0931957126240412,-0.0636952068896992,0.037285795013187,-0.0695656691321514,0.1610040589128355,-0.0675016131950497,0.2597995113281565,-0.1121729349656203,0.177333545700214,-0.0637357909531342,0.0245794467655876,-0.0075623045584121,0.027191242186587,-0.0203946451982913,0.0488524826856532,-0.1424633014042989,0.0635407157467307,0.4651624228858975,0.0096209682764061
-0.0557511799345866,0.1749834185356496,-0.1323766429973518,0.2112424482759837,-0.0044504819247374,0.1159116818729462,-0.0646892404269465,0.0641273642574689,-0.0701502027893176,0.1769880284382694,-0.0720653643261809,0.2607589305728255,-0.1177977210558423,0.1596185508181066,-0.0699157424331892,0.016689975446385,-0.0089805817193421,0.0264557736749881,-0.0204348922828302,0.0595260999050824,-0.1422608840275277,0.065491638165816,0.4639503459347853,0.0244219924149153
-0.0575481493513676,0.1593015378853708,-0.1424596198776418,0.2043278434137191,-0.0084163535731501,0.136425754818929,-0.0658971315025865,0.0900692651211852,-0.071125424280662,0.1899410911543031,-0.0774082900492949,0.2586519728610624,-0.1239715914006921,0.1406346713212156,-0.0749121461492584,0.009960876651574,-0.0108500659738651,0.025725053279489,-0.0204654673012421,0.0688634490742688,-0.1420269628762412,0.0674782036884955,0.4614517522849526,0.0401687635771896
