69_4_beat1,69_58_beat2,69_2_beat3,69_91_beat4,69_57_beat1
0.0565025801894718,0.0040489894149791,-0.1348777754283968,-0.1485243257618119,
0.0557495957761108,0.0020661008655829,-0.1344411846494873,-0.1474129805597761,
0.055212154077101,0.0004973283930841,-0.1330175952905609,-0.1454157109442043,
0.0549232183046276,-0.0005893855757765,-0.1305165414288421,-0.1424124588137022,
0.0549107864107944,-0.0011294764626099,-0.1268627627004434,-0.1382906134376367,
0.0551969821684714,-0.0010643234017234,-0.1220003455051906,-0.132950989583287,
0.0557972089733307,-0.0003439346433801,-0.1158965555603421,-0.126313840423443,
0.0567194059973424,0.0010703704909882,-0.1085451529603343,-0.1183246179815992,
0.0579634498272891,0.0032034206347894,-0.0999689873797031,-0.1089591816117341,
0.059520745823993,0.0060639372966886,-0.0902216909973858,-0.0982281583020857,
0.061374051434118,0.0096427093983401,-0.0793883204406716,-0.0861801793125113,
0.0634975680325109,0.0139113306638304,-0.0675848453259243,-0.0729037566174857,
0.0658573283053791,0.0188216130683525,-0.0549564369773189,-0.0585276192273186,
0.0684118928520526,0.0243057601247764,-0.041674572696608,-0.0432194013875994,
0.0711133533135593,0.0302773457252191,-0.0279330342845986,-0.0271826578660879,
0.0739086212252176,0.0366330994526763,-0.013942940278971,-0.0106522705016166,
0.0767409635389212,0.0432554509993126,7.299445380843929e-05,0.0061116015543717,
0.0795517290234042,0.0500157388497025,0.0138867345662344,0.0228307944363401,
0.0822821961016412,0.0567779462195126,0.0272714688612528,0.0392173333640487,
0.0848754634098281,0.0634027943894253,0.0400081440143114,0.0549821951918998,
0.0872783002061817,0.0697520029856593,0.0518917117815884,0.069844257369823,
0.0894428748742308,0.0756925198652241,0.06273683449385,0.0835390444571062,
0.0913282858289253,0.0811005297858021,0.0723828282217495,0.0958269006607778,
0.0929018294060252,0.0858650692754089,0.0806976686132036,0.1065002559336909,
0.0941399527369895,0.0898911026347581,0.0875809372394347,0.1153897094745062,
0.0950288550435686,0.0931019482276003,0.0929656421621834,0.1223687221146108,
0.0955647172544448,0.0954409825273596,0.0968189010795336,0.1273567819329489,
0.0957535565737824,0.0968725890623448,0.0991415250284202,0.1303209801225714,
0.0956107188892835,0.0973823577558675,0.0999665826417122,0.1312760024070821,
0.095160036934438,0.0969765748643608,0.0993570583645244,0.1302826021286461,
0.0944326951970968,0.0956810729371547,0.0974027429707449,0.1274446726298889,
0.0934658531143923,0.0935395326591734,0.0942165116882369,0.1229050779768615,
0.0923010857516434,0.0906113434872274,0.0899301546391798,0.116840432571921,
0.0909827058588812,0.0869691378296393,0.0846899265032732,0.1094550424412239,
0.0895560331304653,0.0826961149492353,0.078651977864679,0.1009742346863257,
0.088065676000571,0.0778832668820947,0.0719778203794687,0.0916373073720483,
0.0865538887460159,0.0726266105443377,0.0648299627025943,0.0816903305641353,
0.0850590623513316,0.0670245188056768,0.0573678353095458,0.0713790210489166,
0.0836144017673682,0.0611752294967127,0.0497441013763125,0.0609418993271067,
0.0822468350124608,0.0551745958840472,0.0421014291272647,0.0506039187219037,
0.0809761910591607,0.0491141258354139,0.0345697796409113,0.0405707339055625,
0.0798146736523043,0.0430793404027822,0.0272642437351529,0.031023750882696,
0.0787666473320716,0.0371484665561083,0.0202834425478913,0.0221160734140477,
0.0778287403971744,0.0313914639246397,0.0137084888259446,0.013969432844735,
0.0769902577290551,0.0258693721006625,0.0076024896965065,0.0066721601247281,
0.0762338845604309,0.0206339536488297,0.0020105568842932,0.0002782311422478,
0.0755366506722584,0.0157275988231845,-0.0030397227385298,-0.0051926104563988,
0.0748711136242185,0.0111834516658618,-0.0075374141849751,-0.0097536752521607,
0.0742067101736636,0.0070257141008956,-0.0114870248514211,-0.0134491433462684,
0.0735112177361093,0.0032700848268116,-0.0149070291146806,-0.0163509471935719,
0.0727522630914565,-7.570729863268555e-05,-0.0178281990207581,-0.0185548207824477,
0.0718988137863261,-0.0030113108947209,-0.0202918110271658,-0.020175636635661,
0.0709225889021215,-0.0055431303415244,-0.0223477935662888,-0.0213421723315583,
0.0697993300306119,-0.007683698155383,-0.0240528724092275,-0.0221914655697715,
0.0685098802420334,-0.0094510590845349,-0.0254687613578288,-0.0228629305200888,
0.0670410281050472,-0.0108681783655197,-0.0266604357336331,-0.0234924172859376,
0.0653860847673113,-0.0119623818508985,-0.0276945162316472,-0.0242063998485689,
0.0635451740370827,-0.0127648311575336,-0.0286377812303083,-0.0251164754464199,
0.0615252277122738,-0.0133100324850182,-0.0295558166241047,-0.026314350333016,
0.0593396905430141,-0.0136353734399913,-0.0305118038247097,-0.0278674740956159,
0.0570079507095889,-0.0137806783637017,-0.0315654390574045,-0.0298154681275976,
