68_61_beat1,68_1_beat2
-0.0968072461199498,-0.2796742961081523
-0.0985672035628888,-0.2789136514644429
-0.0996183768864367,-0.2769426256880093
-0.099814082906598,-0.2736198752306443
-0.0990089300707191,-0.2688261799206998
-0.0970637469125806,-0.2624705219700491
-0.0938508920263222,-0.254495597200935
-0.0892597565471635,-0.244882480559024
-0.0832022360272809,-0.2336541774841422
-0.0756179214646672,-0.2208778186873232
-0.0664787426447414,-0.2066653000051902
-0.0557927943826788,-0.1911722318123175
-0.0436070903792195,-0.1745951427115884
-0.0300090219401976,-0.1571669756860714
-0.0151263501644003,-0.1391510142562751
0.0008743711482129,-0.1208334721900418
0.0177909622925024,-0.102515063164328
0.0353903040806949,-0.0845019275851133
0.053414382345042,-0.0670963265999953
0.0715874448840366,-0.0505875168914728
0.0896239563299624,-0.0352431970247946
0.1072369883100674,-0.0213018718262582
0.1241466581568601,-0.0089664204934026
0.1400882310502033,0.0016009185387374
0.1548195280606812,0.0102820131890247
0.1681273336997923,0.0170047038396844
0.1798325659840829,0.0217430991917465
0.1897940527466457,0.0245163998716588
0.1979108427662472,0.0253864012409776
0.2041230623056984,0.0244538633110061
0.2084114005728121,0.0218539564331416
0.2107953666379304,0.0177509991663653
0.2113305029562126,0.0123327019093446
0.2101047666037967,0.0058041187215904
0.2072342997705103,-0.0016185073326005
0.2028588075922723,-0.0097138402895626
0.1971367460662023,-0.0182613447245557
0.1902404981818556,-0.0270468518751991
0.1823516856029942,-0.0358676907419347
0.1736567293954074,-0.0445372908068845
0.1643427393611408,-0.0528891753857388
0.15459378013768,-0.0607802760585986
0.1445875356116158,-0.0680935105315798
0.13449237318821,-0.0747395801370234
0.1244647971469438,-0.0806579598792124
0.1146472755675834,-0.0858170732628669
0.1051664264778502,-0.0902136647430697
0.0961315533620483,-0.0938714027063698
0.0876335256005783,-0.096838764252816
0.0797440042200514,-0.0991862694521676
0.0725150165573493,-0.1010031472165437
0.0659788844465526,-0.1023935271637078
0.0601485091468383,-0.1034722613274672
0.0550180127543122,-0.1043604859374503
0.050563730764965,-0.1051810367619134
0.0467455442298292,-0.1060538321454547
0.0435085330503694,-0.1070913364421839
0.0407849249061552,-0.1083942134183811
0.0384963075978786,-0.1100472747857453
0.0365560668031751,-0.1121158238852426
0.0348720068084113,-0.114642488997097
0.0333491086437743,-0.1176446346407366
0.0318923777369726,-0.1211124320831771
0.030409731187475,-0.1250076616792139
0.0288148728402261,-0.1292633094583941
0.0270301027386279,-0.1337840084179107
0.0249890064676934,-0.1384473608361364
0.0226389688717504,-0.1431061610148171
0.0199434547724444,-0.147591517815425
0.0168839964450577,-0.1517168529834011
0.0134618245478768,-0.1552827245921863
0.0096990770483133,-0.1580823954202422
0.0056395203416185,-0.1599080344430339
0.0013487189186223,-0.1605574069553192
-0.0030864047635801,-0.1598408766323237
-0.0075586695765818,-0.1575885126861837
-0.0119424304821056,-0.1536570685392735
-0.0160960876712957,-0.1479365763364833
-0.0198653072717428,-0.1403562856521593
-0.0230869250071598,-0.130889667332783
-0.0255934748437273,-0.1195582080014007
-0.0272182526085958,-0.1064337408061596
