24_67_beat1,24_67_beat2,24_8_beat3,24_90_beat4,24_60_beat5,24_60_beat6,24_22_beat7,24_22_beat8,24_22_beat9,24_36_beat10,24_36_beat11,24_16_beat12,24_16_beat13,24_4_beat14,24_4_beat15,24_87_beat1
-0.0240212865922717,-0.0457873891444024,-0.0314585646490169,-0.0555979650152172,-0.0449230542172487,-0.0245249908539128,0.003561674034754,-0.0099239796291953,-0.0256447953098547,0.0071667941414608,-0.0284272368467697,-0.0165056903841221,-0.0240843030358835,-0.0396734660440509,-0.0337658504969645,
-0.0206379090860459,-0.0460761697790195,-0.0287470509540086,-0.0537356839269968,-0.0452336003848067,-0.021800684976728,0.0045770330798377,-0.0088196779405957,-0.0233225925562622,0.0140392733703748,-0.0285687512964953,-0.0167374524806046,-0.0250558369033681,-0.0394994095760859,-0.032147185967258,
-0.0170020544605391,-0.0459591140434039,-0.0256425401155344,-0.050840615310096,-0.0451419798419807,-0.0187597828053723,0.0056427865042098,-0.0073641990887599,-0.0207883859464284,0.0208588140550512,-0.0283494918326506,-0.0167537211708094,-0.0259101473925112,-0.0389854489425984,-0.0302699026499444,
-0.0131757791755236,-0.045405750789625,-0.0221667544927672,-0.046998747678528,-0.0446225901544506,-0.0154468267710804,0.0068008804834575,-0.005575431655178,-0.0180825588814051,0.0275648622186158,-0.0277504117938324,-0.0165326286708931,-0.0266169677520392,-0.038120124510364,-0.0281526763924315,
-0.0092254542521843,-0.0443936862177646,-0.0183489268315281,-0.0423100080247552,-0.0436562956908381,-0.0119128602007083,0.0080892339166199,-0.0034793168748935,-0.0152493135633366,0.0340979799569384,-0.0267613788554967,-0.0160566060418835,-0.027146385277047,-0.0368992824882275,-0.0258201004918608,
-0.0052198947456541,-0.0429098055600559,-0.0142258375094555,-0.0368844482236501,-0.04223158898449,-0.0082141071462808,0.0095400054240212,-0.0011092917911348,-0.0123354681326627,0.04040070106882,-0.0253820804063319,-0.0153132196041995,-0.0274699745676346,-0.035326623303909,-0.0233022747639097,
-0.0012284241116265,-0.0409512188506425,-0.0098415712643864,-0.0308383829801933,-0.0403455685055271,-0.004410472477025,0.0111781238826634,0.0014945393561205,-0.0093891634691657,0.0464184171720665,-0.0236226035014395,-0.0142958710285156,-0.0275619509831516,-0.0334140022850923,-0.0206341778953069,
0.0026810558764313,-0.0385259012781792,-0.0052469830482207,-0.0242906103559045,-0.0380046754692352,-0.0005639206092134,0.0130201482155144,0.0042864736365363,-0.0064585293933969,0.0521002844696181,-0.0215036488938689,-0.0130043261011858,-0.0274002969721517,-0.0311814613057092,-0.0178548418099415,
0.0064439215496976,-0.0356529903533626,-0.000498877514755,-0.0173588354202521,-0.0352251415354619,0.0032632049169406,0.0150735043008861,0.0072164756157506,-0.0035903606120017,0.0574001331092829,-0.0190563549104423,-0.0114450434699965,-0.0269678127357776,-0.0286569809129999,-0.0150063561645602,
0.010000547431831,-0.032362716085129,0.0043410785884726,-0.0101564041950034,-0.0320331114489222,0.0070098580465863,0.0173361270431281,0.0102315909735182,-0.0008288509602883,0.0622773540441344,-0.0163217250700098,-0.0096312826711063,-0.0262530437697671,-0.0258759541496512,-0.0121327390913152,
0.0132978351235287,-0.0286959557632946,0.009207678120372,-0.0027894396808922,-0.0284644191819332,0.010617902226429,0.0197965150775455,0.0132774519346084,0.0017855694420113,0.0666977332589402,-0.0133496722366442,-0.0075829800034374,-0.0252510412792512,-0.0228803951972719,-0.0092787164945251,
0.0162905056813741,-0.0247034209109321,0.0140336844555274,0.0046455450214504,-0.0245640121596939,0.01403360189273,0.0224341854662809,0.0162998163538219,0.0042172552296601,0.0706342006221341,-0.0101977105746618,-0.0053263908450747,-0.0239639171880455,-0.0197179074356533,-0.0064884562847246,
0.0189421208781833,-0.0204444995935198,0.0187514773571144,0.0120634993558122,-0.0203850347611045,0.0172089445817053,0.0252204971716585,0.019246082576314,0.0064361932125861,0.074067460557172,-0.0069293434696178,-0.0028935072372746,-0.0224011632494085,-0.0164404459068103,-0.0038043057298812,
0.0212258099372792,-0.0159857917017005,0.0232947731706245,0.0193921154802508,-0.0159875985427745,0.020102753630107,0.0281197960013053,0.0220667251158482,0.0084186523430003,0.0769864740313798,-0.0036122098650384,-0.0003212694225419,-0.0205797132564392,-0.0131029179387162,-0.0012655796020127,
0.0231246895183845,-0.011399387322393,0.0276003554756568,0.0265725176839686,-0.0114372816031436,0.0226815614139497,0.0310908208298902,0.0247166014386592,0.0101476208243988,0.0793887656706795,-0.000316062310594,0.0023494010313567,-0.0185237380818656,-0.0097616723797667,0.0010925558822986,
0.024631975458355,-0.0067609483044514,0.031609752271055,0.0335593637152035,-0.0068034123482878,0.0249202236299882,0.0340883017035009,0.0271560872844161,0.0116130234332811,0.081280535652347,0.0028893431336491,0.0050747113381578,-0.0162641746954358,-0.0064729322211755,0.0032400629443786,
0.0257507947004004,-0.0021476602307862,0.0352707986368336,0.040320382261778,-0.0021572029450359,0.0268022656944484,0.0370646751626592,0.0293520065058497,0.0128117202887682,0.0826765629006836,0.0059363623902556,0.0078092098682675,-0.0138380018053648,-0.0032912271943312,0.0051528417805664,
0.0264937147493007,0.002363873944778,0.0385390292235144,0.0468353924059583,0.002430195559625,0.0283199624122946,0.0399718407698214,0.0312783308456994,0.013747295866691,0.0835998935359827,0.0087615030922075,0.0105070560778582,-0.0112872857309628,-0.0002678822293544,0.0068133430034157,
0.0268820157298686,0.0066997263316588,0.0413788523679525,0.0530948716131046,0.0068896414088384,0.0294741612389602,0.0427628851604297,0.032916634883552,0.0144296537892837,0.0840813160978303,0.0113073128114282,0.0131233016710155,-0.0086580299565043,0.0025503854047891,0.0082109644340018,
0.0269447366372328,0.0107906521978285,0.0437644665795785,0.0590981577130886,0.0111558791892047,0.0302738673992938,0.0453937055253609,0.0342563011015278,0.0148744386688274,0.0841586324604299,0.0135240487591671,0.0156151371950541,-0.0059988700415131,0.0051227126239751,0.0093422222488811,
0.0267175326319715,0.0145739477321146,0.045680490045098,0.064851386267457,0.0151692755537984,0.030735615643181,0.0478244727071741,0.0352944792177704,0.015102310936573,0.0838757403502223,0.015371073187702,0.0179430607733316,-0.0033596617828275,0.0074151399694015,0.0102106950083102,
0.026241384251917,0.0179950980829001,0.0471222841784659,0.0703652764837605,0.0188773508009847,0.0308826584154955,0.0500208843964793,0.0360358122736037,0.0151381040850446,0.0832815498070554,0.0168179317311133,0.020071929919901,-0.0007900144875641,0.0094014314499571,0.0108267472397361,
0.025561202187075,0.0210091646672122,0.0480959626920973,0.0756528853148966,0.0222360535793253,0.0307440037151149,0.0519551705576718,0.0364919491718446,0.0150098960691814,0.0824287616853295,0.017845085870901,0.0219718630353444,0.0016621771795825,0.0110636413862442,0.0112070467444384,
0.0247243727860357,0.0235818705017263,0.0486180878687755,0.0807274497004479,0.0252107381084242,0.0303533380131232,0.053606825516468,0.0366808692769301,0.0147480277603429,0.0813725412680702,0.0184442848447025,0.0236189638893035,0.0039521500209713,0.0123924144193493,0.0113738964242327,
0.023779289712901,0.0256903530497676,0.0487150654365661,0.0856004306139461,0.0277768167345628,0.0297478704524829,0.0549630534769932,0.0366260492140321,0.0143841013671531,0.0801691241503917,0.0186185759798258,0.024995849772904,0.0060395878947092,0.0133870144595395,0.0113544070370664,
0.022773916133478,0.0273235654474697,0.0484222585199671,0.0902798597130483,0.0299200746292458,0.0289671343513675,0.0560189260580975,0.0363555051329153,0.013949990694827,0.0788743946046984,0.0183819651046075,0.0260919716813112,0.0078897908615414,0.0140550876623379,0.0111795417820256,
0.0217544194721241,0.0284823186371197,0.0477828494267658,0.0947690705072262,0.0316366472663613,0.0280517809777382,0.0567772613048631,0.0359007454894626,0.0134768930994332,0.0775424785164628,0.0177587499862217,0.0269037225186065,0.009474658898495,0.0144121732426888,0.0108830669235575,
0.0207639171701933,0.0291789685838127,0.0468464854085323,0.0990658721112196,0.0329326743277394,0.0270423988333231,0.0572482432091653,0.0352956699553135,0.0129944501157352,0.0762243935195115,0.0167825594112713,0.0274343366042152,0.0107734585459776,0.0144809838422659,0.0105004447624278,
0.019841367065663,0.0294367640768367,0.0456677508671294,0.1031621963022081,0.0338236553391784,0.0259783894217351,0.0574488088353731,0.0345754495428662,0.0125299601272557,0.0749667980225933,0.0154951384245092,0.0276935904592942,0.0117733489960906,0.0142904840745343,0.0100677061417662,
0.0190206301374443,0.0292888813119397,0.0443045136112281,0.1070442194903817,0.0343335422077535,0.0248969277686549,0.0574018365638682,0.0337754215939358,0.0121077022557658,0.0738108783088338,0.0139449263174933,0.0276973207819681,0.0124696527248823,0.0138748016561955,0.0096203393521371,
