27_86_beat1,27_86_beat2,27_86_beat3,27_27_beat4,27_75_beat5,27_63_beat6,27_82_beat7,27_82_beat8,27_82_beat9,27_79_beat10,27_79_beat11,27_79_beat12,27_90_beat13,27_90_beat14,27_90_beat15,27_80_beat16,27_13_beat17,27_13_beat18,27_23_beat19,27_23_beat20,27_23_beat21,27_83_beat22,27_83_beat23,27_83_beat24,27_83_beat25,27_19_beat1
-0.1962859018386724,-0.1263841803025986,-0.074791732540883,-0.051911401788752,-0.0907191239542797,-0.1503057998744485,-0.0983132738062446,-0.0940503059681815,-0.1070173030510356,-0.077211033556715,-0.072082374198035,-0.0987478781423747,-0.06192155212281,-0.0775281649535199,-0.0954521303757146,-0.1427804759130067,-0.0829702546829535,0.0845748212545331,-0.0132985038290937,-0.0488756778365944,-0.0506345330869076,0.0187936351446143,0.0637236927128343,-0.0432096892835193,-0.1425366187836902,
-0.1900314809562046,-0.1253449211184613,-0.0762231300377873,-0.051862658348825,-0.0887488244659903,-0.1469290198990293,-0.091810819448799,-0.0898133139695613,-0.1068246833344895,-0.0722047911982747,-0.0682516096801063,-0.09740193104597,-0.0494010833081774,-0.0778777834556702,-0.0894044278678703,-0.1396868082322093,-0.0869734438736479,0.0821045815473712,-0.0161446835803573,-0.0518001191076541,-0.0507255961342048,0.020152242588361,0.0568368578895231,-0.0514706578838331,-0.1493254736746996,
-0.1825351556768057,-0.1230499336551786,-0.0765470484670571,-0.0512548640586479,-0.0856027510262881,-0.1431149060864793,-0.0842189863134739,-0.0843346903821457,-0.1052995991848405,-0.0661417454630056,-0.0631927451216787,-0.0946889977377487,-0.0362452360784629,-0.0770668679628982,-0.0823078922899969,-0.1352750436839904,-0.0902638585535533,0.0799495210461763,-0.0185861128736279,-0.0541882071752251,-0.0501682862407471,0.0217195176339142,0.0503798489317684,-0.059121496314444,-0.1550142844219633,
-0.1739043237117703,-0.1194850097387571,-0.0757024349699155,-0.0500803526975286,-0.0812838407992897,-0.1388405433360902,-0.075658041601141,-0.0776883160078478,-0.1024213701748781,-0.059102185056484,-0.0569647280961254,-0.0906006375008416,-0.0226337377213916,-0.0751007441987681,-0.0742532233595956,-0.1295647924173056,-0.0926706093367092,0.0781951233749651,-0.0205367314393719,-0.0559803301542705,-0.0489559539945019,0.0236879481923415,0.0444959929420233,-0.0660090065961815,-0.1593960315314574,
-0.1642722965572826,-0.1146637027537024,-0.0736518366139498,-0.0483448221446595,-0.0758212595615372,-0.1340918533835291,-0.066271499432424,-0.0699758475925036,-0.0981988101666877,-0.051191035521078,-0.0496554591228299,-0.0851588173343035,-0.0087528379929984,-0.0720127206357106,-0.0653576552018641,-0.1226075377975452,-0.0940344282151162,0.0769122731648896,-0.0219166283046965,-0.0571272475615883,-0.0470978016348133,0.0262352101649459,0.0393243006653095,-0.0719882301871164,-0.1622721045645553,
-0.1537949657176747,-0.1086282427970046,-0.0703836565108677,-0.0460675573275752,-0.0692710950363995,-0.1288659452911654,-0.0562224057599425,-0.0613245056918178,-0.0926711987580842,-0.042535798494109,-0.041380320424169,-0.0784166495917467,0.0052096921861236,-0.0678642340520118,-0.0557618757091471,-0.114486460456897,-0.0942138345396931,0.0761560839238653,-0.0226550175553044,-0.0575919371900685,-0.0446189690784846,0.0295172812318876,0.034995129457443,-0.07692668571806,-0.1634578024738948,
-0.1426466466908921,-0.1014495027598461,-0.065913667313736,-0.0432812001287569,-0.0617161196366103,-0.1231731473843897,-0.045688945783066,-0.0518839807685777,-0.0859082712879104,-0.033283637862068,-0.0322797539565126,-0.0704581346112246,0.0190695139819826,-0.0627439252987049,-0.0456259944594846,-0.1053151349139114,-0.0930908722131459,0.0759650840405425,-0.0226930823294057,-0.0573511367905335,-0.0415600916908184,0.033662432170275,0.031625805774928,-0.0807085098178851,-0.1627880006217318,
-0.131015262521698,-0.0932259717255519,-0.0602856789845967,-0.0400310653449226,-0.0532645850820085,-0.1170385761575641,-0.0348595329460047,-0.0418225568951618,-0.078009184061674,-0.023597700963361,-0.0225159446010227,-0.0613968695510065,0.0326504400397354,-0.0567656472999637,-0.0351247304655764,-0.0952351128502817,-0.0905761839562624,0.0763607551417489,-0.021986560660436,-0.0563965092491782,-0.0379763345578111,0.0387663346118531,0.0293163767919992,-0.0832383490804082,-0.1601228101039081,
-0.1190970578215804,-0.0840817386673565,-0.0535712915228327,-0.0363740210166716,-0.0440480574588899,-0.1105031157501506,-0.0239275604343147,-0.0313225877011282,-0.0691004573034761,-0.0136528002858287,-0.0122687061046369,-0.0513737311172968,0.045788749776598,-0.0500654612549787,-0.0244420274805829,-0.0844124583188373,-0.0866132107255999,0.077347415529859,-0.0205079510334171,-0.0547353724093627,-0.033935929894757,0.0448884708778807,0.0281456701547217,-0.0844448476387451,-0.1553530249931024,
-0.1070910528687581,-0.0741635369939275,-0.0458687025564338,-0.0323769699065172,-0.0342183480372646,-0.1036237089558257,-0.0130860089795203,-0.020575487890307,-0.0593329455218302,-0.0036306120682615,-0.0017307050375559,-0.0405535875721034,0.0583369530121547,-0.0427977288228829,-0.0137653294200883,-0.0730333491257655,-0.0811813368155213,0.0789124415549862,-0.0182482264580839,-0.0523909505987398,-0.0295182653243304,0.052049970578228,0.0281678412665907,-0.084283578964941,-0.1484051308512396,
