20_93_beat1,20_93_beat2,20_85_beat3,20_85_beat4,20_85_beat5,20_89_beat6,20_89_beat7,20_99_beat8,20_99_beat9,20_99_beat10,20_94_beat11,20_94_beat12,20_94_beat13,20_94_beat14,20_94_beat15,20_66_beat16,20_66_beat17,20_66_beat18,20_46_beat19,20_46_beat20,20_46_beat21,20_46_beat22,20_46_beat23,20_90_beat24,20_90_beat25,20_90_beat26,20_90_beat27,20_81_beat28,20_81_beat29,20_81_beat30,20_81_beat31,20_74_beat32,20_74_beat33,20_74_beat34,20_73_beat35,20_73_beat36,20_73_beat37,20_44_beat38,20_44_beat39,20_44_beat40,20_76_beat41,20_76_beat42,20_76_beat43,20_76_beat44,20_34_beat45,20_34_beat46,20_34_beat47
-0.1167058413722286,-0.0727642764612402,-0.1373636185813579,-0.1567109581465937,-0.0707447808005009,-0.2620006320177131,0.0320151969710757,-0.1961274985099907,-0.1803013065468515,-0.1450252939105743,-0.0695580137763239,-0.1214418399935753,-0.0389461723222676,-0.1043489990931274,-0.0951689106385689,-0.0802588433388585,-0.2047241542844701,-0.0312145238881329,-0.0976634578549627,-0.0473825618593453,-0.1984371111999877,-0.1767773574590387,-0.094554708577236,-0.0157576188429514,-0.111159916062197,-0.162618821986113,-0.3073222911406676,0.0706546500649057,-0.0665107870163889,-0.1259455365564976,-0.1028498558502231,-0.0637300240647842,-0.0576935277875388,-0.2708960535361367,-0.0865032757227199,-0.3286592537343811,-0.0270428781945142,-0.1919577364895188,-0.173915539829809,-0.1135245860841133,-0.0954188952723337,-0.0513023696104845,-0.0329427935680472,-0.200349617079124,-0.0156386631632834,-0.1593653940904322,-0.1018414869398942
-0.1231523028848091,-0.0672920321274091,-0.1323310833676916,-0.1593094335247117,-0.069211198491954,-0.2623793632254632,0.0393946236721823,-0.1715389588027332,-0.1764979815175928,-0.1378762401532296,-0.0698737618741121,-0.1172577540203038,-0.0444045244618248,-0.1022172174607158,-0.0917385756554339,-0.0775542891377412,-0.2041370027932889,-0.0344449068854072,-0.0980673179560939,-0.0437112528142689,-0.1969279137398785,-0.1788481324042944,-0.0944992040418852,-0.0095554882526614,-0.1029480730521751,-0.1752557016098088,-0.3114915055188607,0.0735020015997253,-0.062217888420168,-0.1259221147357199,-0.1044195266621946,-0.0713422838485467,-0.0534227313362973,-0.2657942263682482,-0.0882153704622198,-0.3150761932476241,-0.0279878958981814,-0.1751075421501501,-0.1665526814800435,-0.1130751173009509,-0.0803701836541652,-0.0518264161370684,-0.0253206814093822,-0.1955527578387746,-0.0174543540119516,-0.1502067818551903,-0.1039400443493994
-0.1280147526699286,-0.0617132129504727,-0.1265594491738451,-0.1601457661234226,-0.0664332180056845,-0.2597115056494428,0.0466617231511559,-0.1470307557124635,-0.1717280202912313,-0.1295210044969899,-0.0685411955231343,-0.1121176705341088,-0.0493941057103311,-0.0986201153384937,-0.0877047085525276,-0.0739393310304022,-0.2022455480120089,-0.0365808471536908,-0.0970619085805191,-0.039111002465739,-0.1929920826707379,-0.1790674163824051,-0.0930824826817363,-0.0021875553079164,-0.0944457211004141,-0.1848253440331683,-0.3119168238267234,0.0765614504861915,-0.0568285434400752,-0.1247865405684793,-0.1050702902499645,-0.0778492723071385,-0.0474543568334192,-0.2585428668835482,-0.0882701223645082,-0.2995448521222615,-0.0286764842201097,-0.1571869644003329,-0.1572714913045418,-0.1111469383809973,-0.0650571929367107,-0.0515425650067236,-0.0162979047905656,-0.1882714024281992,-0.0176162535390471,-0.13855613067771,-0.1040499766372338
-0.1311467197289818,-0.0560328329046646,-0.1199950177543489,-0.1591633255280048,-0.0623429002449173,-0.2539582210435357,0.0537034975718268,-0.1228439016450452,-0.1658633013257505,-0.1200031325933548,-0.065604693386374,-0.1060010346849563,-0.0537840739255352,-0.0935329126673752,-0.0830165654247349,-0.0693163693691771,-0.1990341780555212,-0.0375335508495211,-0.094639688211355,-0.0335759810426415,-0.1866485941734507,-0.1774127517044363,-0.0902144208504711,0.006276438851821,-0.0857843578157022,-0.1910931843890163,-0.308425356661064,0.0799775417326408,-0.0504002187969157,-0.1224138032507582,-0.1046993746272815,-0.0830984327427503,-0.0398118368312187,-0.2493361747643556,-0.0866151816073696,-0.2824003980817494,-0.029098537590596,-0.1384391538287072,-0.1461127483905102,-0.1077063550483067,-0.0496061789667097,-0.0502043472991819,-0.0059532150681709,-0.1786948299018494,-0.0159506011872744,-0.1245700580715398,-0.1020865444614079
-0.132444715237143,-0.050250043264251,-0.1125804367116052,-0.1563467683963716,-0.0569012388784768,-0.245154622230477,0.0604222008912948,-0.0992113411960648,-0.1587939158741961,-0.1093860110280343,-0.0611479084241779,-0.0989033118073033,-0.0574371595645522,-0.0869712295230634,-0.07764094666661,-0.0636031448199661,-0.1944924043220347,-0.0372286343999045,-0.0908424833047208,-0.0271221161042423,-0.1779624810544739,-0.1738937079997492,-0.0858235205318425,0.0157399401851293,-0.0770907019151792,-0.1938817827981359,-0.3009073610239942,0.0838825266630555,-0.0430171470385141,-0.1186983582928054,-0.1032272953048725,-0.086964778531399,-0.0305562669212297,-0.2384092602117227,-0.0832394127441005,-0.2639968245734773,-0.0292514645787636,-0.1191162503160719,-0.1331574858225884,-0.1027452992697814,-0.0341364517914401,-0.0475924008147363,0.005599969846681,-0.1670652469451112,-0.0123205480185558,-0.1084689981237677,-0.0980214968698579
-0.1318525895176985,-0.0443595832008616,-0.104259332777746,-0.1517237989200712,-0.050100619807659,-0.2334113130815646,0.0667385867565108,-0.0763529933260746,-0.1504340544733886,-0.0977547327622279,-0.0552911128240882,-0.090838423320752,-0.0602156333929222,-0.0789914165715577,-0.0715650416989338,-0.0567394314299375,-0.1886196071648274,-0.0356110723676467,-0.085759073801887,-0.0197890134882789,-0.1670463245849304,-0.16855406077443,-0.0798627100876538,0.0260809253877122,-0.0684835678955766,-0.19307794596312,-0.2893248294809442,0.0883904919673433,-0.0347878503829717,-0.1135595470212555,-0.1006014922252715,-0.089355168625493,-0.0197846449393794,-0.2260317365565995,-0.0781756090633081,-0.2446994747435466,-0.0291399349428601,-0.0994745410628576,-0.1185264412691704,-0.0962844152722645,-0.018758784130744,-0.0435238254993595,0.0182159118064551,-0.1536718512119706,-0.0066345614002917,-0.0905308124612803,-0.091884857388437
-0.129364211344639,-0.0383535226160811,-0.0949813279410329,-0.1453654898467294,-0.041966427953463,-0.2189131404302597,0.0725940846483359,-0.0544711264891475,-0.1407272240911793,-0.0852170428435484,-0.0481874174655396,-0.0818407706553986,-0.0619877742623333,-0.0696894090914066,-0.0647984556864391,-0.0486931009506392,-0.1814298203447912,-0.0326497760933881,-0.0795208656219121,-0.0116410110037737,-0.1540601779677488,-0.1614729713718333,-0.0723148172146005,0.0371542253339616,-0.0600711505804486,-0.1886385733833393,-0.2737186738141922,0.0935921194557791,-0.0258418837445021,-0.1069464815236338,-0.0967990841154611,-0.0902116438815585,-0.0076270439191782,-0.2125001814890591,-0.0715014842656503,-0.2248771816124222,-0.0287753503750551,-0.0797697194537988,-0.1023781290521973,-0.0883754370861241,-0.0035744446380441,-0.037860258573092,0.0317202504933349,-0.1388431347240445,0.0011463323863262,-0.0710826522270789,-0.0837644065152315
-0.1250243465483759,-0.0322232021925932,-0.0847071919263706,-0.1373851271076888,-0.0325576918862661,-0.2019151842532462,0.0779518281901612,-0.0337462608960096,-0.1296505319634568,-0.0719032556645159,-0.0400179990967954,-0.0719667161860527,-0.0626345638309836,-0.0591981362363388,-0.0573743171930085,-0.0394652018739664,-0.1729562219318471,-0.0283415362720126,-0.0722959087478656,-0.0027672713296859,-0.1392098358463227,-0.1527650259171124,-0.0631973348300438,0.0487947635864337,-0.0519487998421127,-0.1805949948169323,-0.254214062565432,0.0995502844233148,-0.0163259545268019,-0.098842162373653,-0.0918286053446462,-0.0895136912457404,0.0057571446145686,-0.198129763503156,-0.0633388737772698,-0.2048942241192223,-0.0281750735687033,-0.0602523793217319,-0.0849055927600205,-0.0791026631746748,0.0113251739059329,-0.0305143233957124,0.0459148958230233,-0.1229376787903365,0.0110028566119735,-0.0504913800994725,-0.0738029321268629
-0.1189276900786037,-0.0259612591720459,-0.0734138646476257,-0.1279356057686235,-0.021966691975818,-0.1827361453235327,0.0827965193945984,-0.0143337698369071,-0.1172178113987389,-0.057965096092686,-0.0309865131797024,-0.0612954050062436,-0.0620563069253693,-0.0476835784830551,-0.0493494112350412,-0.0290937373382047,-0.1632550118110904,-0.0227140841285691,-0.0642815919950196,0.0067191329448993,-0.1227434490930939,-0.1425790503267573,-0.0525661209276466,0.0608215965280826,-0.0441973420849765,-0.1690555939813486,-0.2310235167173621,0.1062966625043155,-0.0063995945959372,-0.0892666180771147,-0.0857306345171423,-0.0872793415660072,0.020183731004088,-0.1832453722648234,-0.0538511683188417,-0.1851023201347999,-0.0273614615837698,-0.0411638587984498,-0.0663319591010259,-0.0685833740319088,0.0258584036236792,-0.0214541701275339,0.0605838926679135,-0.106333773539311,0.0228536845545996,-0.0291528978357956,-0.0621934282787697
-0.1112160862909745,-0.019563618326827,-0.0610990768858244,-0.1172054688606047,-0.0103174991429374,-0.1617494102500803,0.0871331727627283,0.0036386800705938,-0.1034814172287822,-0.0435734791202529,-0.0213129047924727,-0.0499288327680373,-0.0601788614475158,-0.0353396235736551,-0.0408033305424281,-0.0176558864243291,-0.1524083873907003,-0.0158280623838896,-0.0556963978429202,0.0166831407356624,-0.1049465693181061,-0.1310956840182811,-0.0405177186210867,0.0730425981734664,-0.0368819818369358,-0.1542065500657038,-0.2044474391821096,0.1138294710793055,0.0037694316751097,-0.0782788884572247,-0.0785772739553559,-0.0835650502426312,0.0354488254960242,-0.168172616544453,-0.0432390897043507,-0.1658328932244934,-0.0263607580910215,-0.0227325230212253,-0.0469049675385583,-0.0569670900667013,0.0399527365852876,-0.0107059048744737,0.0754999833335254,-0.0894182604819162,0.0365538044124819,-0.0074807478188285,-0.0491725150330026
-0.1020740519790708,-0.0130313268628936,-0.0477853075035731,-0.1054137399463067,0.0022365432847953,-0.1393721761536966,0.0909848406358296,0.0200727499128416,-0.088532581158236,-0.0289153022487005,-0.0112268523428212,-0.0379910921693425,-0.0569591622999869,-0.0223819219708268,-0.0318366860153754,-0.0052684903003395,-0.1405263774454402,-0.0077777471987433,-0.0467711305322847,0.0269705808861456,-0.0861357878080954,-0.1185237621186892,-0.027190050312374,0.0852595973960168,-0.0300517949256891,-0.1363105725631431,-0.1748718485391252,0.1221124240830289,0.0140097999870531,-0.0659777177921584,-0.0704704919059861,-0.0784643562826536,0.0513343178191828,-0.1532290587839887,-0.0317349979576283,-0.1473898576961311,-0.025201904504937,-0.0051705471496314,-0.0268906936762296,-0.0444336262428471,0.0535439821477743,0.0016462060616835,0.0904315563975275,-0.072575040999984,0.0518952351441311,0.0141056327724356,-0.0350124226221667
-0.0917227912086943,-0.0063721197443199,-0.0335228408130323,-0.0928037516392456,0.0155163352910022,-0.1160530966551215,0.094389473119438,0.0349000567430797,-0.0725002863630943,-0.0141893780318172,-0.0009610883999269,-0.0256267631004377,-0.052389740934844,-0.0090409845638773,-0.0225684623823914,0.0079132861619611,-0.1277473562499422,0.0013095768251658,-0.0377400371845469,0.0374119127424463,-0.0666512041425285,-0.1050956202202241,-0.0127613261655454,0.0972737506186728,-0.0237398047292587,-0.1157035551592444,-0.1427632005879554,0.1310749307363096,0.0241512048953841,-0.0525008753377443,-0.0615393914901011,-0.0721053625699334,0.0676135413874465,-0.1387160402026493,-0.0195959852239969,-0.1300431642769386,-0.0239153320246419,0.0113287676840259,-0.0065667155857836,-0.0311899628263537,0.0665752983704406,0.0154617731873933,0.1051496520251541,-0.0561737142916603,0.0686101802445552,0.0351926283637165,-0.0200119299969755
-0.0804129562062314,0.0003983823780421,-0.0183917270435094,-0.0796362129084195,0.029321428733355,-0.0922589645843495,0.0973961095098787,0.0480818037662401,-0.055548692214826,0.0003983218524695,0.0092551610616155,-0.0129984477878486,-0.0465019760793612,0.0044452037234693,-0.0131326441990864,0.0216991105910051,-0.1142371325180464,0.0112756182130921,-0.0288322257275222,0.0478266931796889,-0.0468480165525475,-0.0910614928400426,0.0025528936149612,0.1088909206749094,-0.0179636150656532,-0.0927891298105063,-0.1086603063939391,0.1406135213554646,0.0340286863623483,-0.0380230782366752,-0.0519365189253225,-0.0646471261484949,0.0840569327658495,-0.1249114149412695,-0.0070960622701918,-0.114023335081963,-0.0225317951462838,0.0265931407439187,0.0137850096300354,-0.0174660139698788,0.0789962509165913,0.0305484792089045,0.1194346949973731,-0.0405588039178183,0.0863765986246838,0.0553837679102006,-0.004486670260201
-0.0684164608269106,0.0072559180273091,-0.0025025000101237,-0.0661817858314067,0.0434351828187681,-0.0684609737583066,0.1000606310331491,0.0596074560047169,-0.0378732097156238,0.0146399069528108,0.0192023921986489,-0.0002834910341422,-0.0393678611266163,0.0178387619171655,-0.0036742683596891,0.0358683533288139,-0.1001865859497439,0.0219344148265086,-0.020263747037869,0.0580285997317368,-0.0270875662696631,-0.0766832231239468,0.0185044373042618,0.1199268333952359,-0.0127265573656607,-0.0680311616074441,-0.0731634854713048,0.1505944387825,0.0434865673219324,-0.0227525516621023,-0.0418333655039372,-0.0562750898730753,0.1004375114034036,-0.112063457978369,0.0054822244127469,-0.0995171905718397,-0.0210813024403939,0.0404729406418228,0.033885286850579,-0.0035094336204902,0.0907620399655243,0.0466682537418877,0.1330826472581047,-0.0260400033411917,0.1048260612309855,0.0743103129480718,0.0112407848757893
-0.056017689706869,0.0141673205328328,0.0140044339194727,-0.0527134563750154,0.0576304861001231,-0.0451211027192035,0.1024413249235405,0.0694925511853537,-0.0196953920311972,0.028331068391743,0.0286764909639902,0.0123300348841293,-0.0311001376670307,0.0309093839291921,0.0056549193182936,0.0501764757375507,-0.0858079039644164,0.0330768924739628,-0.0122306552431111,0.0678308123532434,-0.0077281899358361,-0.0622275343424915,0.034818910149495,0.130211797393085,-0.008019295661713,-0.04194428744488,-0.0369212202617356,0.160857293612284,0.0523818912700366,-0.0069263201350616,-0.0314152508862561,-0.0471957238452295,0.1165360240748502,-0.1003861427507862,0.0178563934010657,-0.0866649330851157,-0.0195921926389861,0.0528423375856818,0.0534645769959013,0.0104203522826041,0.1018330089928039,0.0635451603018296,0.1459103101676608,-0.0128838200917329,0.1235536547303298,0.0916408009020798,0.0268506698279761
-0.0435044653127308,0.0210907621305609,0.0309607561674947,-0.0394989835954967,0.0716758389834161,-0.0226791391249722,0.104594516140594,0.0777757764915402,-0.0012568587742604,0.0412766067869266,0.0374936817885425,0.0246479628918236,-0.021850719676459,0.043441410485231,0.0147010148911134,0.0643626592626913,-0.0713295480811378,0.0444764690964998,-0.0049032937211331,0.0770515378141875,0.0108837628543508,-0.0479591318332865,0.0512034840990211,0.1395947984494404,-0.0038218204055892,-0.0150826657860967,-0.0006146962218677,0.171219646422087,0.0605872771610824,0.0091956208604034,-0.0208757978452064,-0.0376305748041637,0.1321456212509646,-0.0900559051406886,0.0297525001081812,-0.0755587024172244,-0.0180903938486995,0.0636000342372384,0.072269398584786,0.024058660047738,0.1121745109507686,0.0808746536190802,0.1577595598787408,-0.0013069291809009,0.1421295952067685,0.1070892731680685,0.0420352439459279
