2_84_beat1,2_62_beat2,2_13_beat3,2_13_beat4,2_13_beat5,2_61_beat6,2_61_beat7,2_61_beat8,2_23_beat9,2_87_beat10,2_12_beat11,2_71_beat12,2_71_beat13,2_71_beat14,2_9_beat15,2_91_beat1,2_91_beat2,2_89_beat3,2_89_beat4,2_85_beat5,2_95_beat6,2_95_beat7,2_95_beat8
-0.1097424258750567,0.1159016918076476,-0.2113385863896864,-0.1893060414564791,-0.0186396267642213,0.060823019451219,-0.143812054413489,-0.0349671543077877,0.058340209543769,-0.2293927895983924,0.0081410920050643,-0.2828540422877314,-0.3065773541337805,0.0537444067406058,-0.0500263612924012,,,,,,,,
-0.1008099111430395,0.1128188079924439,-0.2065700969698304,-0.1854015355898579,-0.0093130485219339,0.0530094967119,-0.1487530519693296,-0.0419948621830806,0.0610519344586586,-0.2376988694527901,0.0076725936790828,-0.2790167405362642,-0.3093340432741739,0.0404104217573244,-0.044904886611257,,,,,,,,
-0.0897354276805501,0.1105876409312058,-0.1995438790285157,-0.1792152240099612,0.0029103384810782,0.0456839404608593,-0.1532271038688295,-0.047764363810223,0.0641980961492019,-0.2437925988270568,0.0079554572661187,-0.2723931272441755,-0.3094712166435437,0.0290918180057602,-0.0362084023853034,,,,,,,,
-0.0765642127457095,0.109276125323812,-0.1902039156861353,-0.170682019744829,0.0180673899263334,0.0390644660767462,-0.1570446894802581,-0.0520036667035076,0.068167690676093,-0.2475992348112633,0.0091045248975928,-0.2628821897189426,-0.3067405894809505,0.0200285297815984,-0.0240681533023641,,,,,,,,
-0.0613845005181163,0.1089408518869145,-0.1785456336129746,-0.1597933717393928,0.0361119909508683,0.03336953520677,-0.1600224105487365,-0.0544634571356781,0.0733179471199356,-0.2491017465398991,0.0112319644199814,-0.2504432175966069,-0.3009473492884901,0.0134322965898153,-0.0087022411226113,,,,,,,,
-0.0443283579899022,0.1096246873943762,-0.1646195289113995,-0.146600666041646,0.0569116223515303,0.0288103663353312,-0.16198845162395,-0.0549260299957317,0.0799590427234309,-0.2483403128383085,0.0144441359186406,-0.2351018753874297,-0.2919608923366735,0.0094781331760628,0.0095902803483629,,,,,,,,
-0.0255716177094066,0.1113544090530651,-0.1485330532622499,-0.131216655604343,0.0802468378281863,0.0255830574332815,-0.1627881115575015,-0.0532138099575664,0.0883407461540734,-0.2454099115496464,0.0188380605309167,-0.2169543145337643,-0.2797241112318825,0.0082960864029648,0.0304380594227461,,,,,,,,
-0.0053328536953994,0.1141385020200746,-0.1304505720618546,-0.1138147577128274,0.105813806254432,0.023860688725708,-0.1622892472382244,-0.0491971453651947,0.0986415608795952,-0.2404561722473727,0.0244975471574494,-0.1961689850789199,-0.2642606953539645,0.0099636602367982,0.0534085661876104,,,,,,,,
0.0161286354296595,0.1179652732307108,-0.1105912902418571,-0.0946261509106673,0.1332299517342068,0.0237857008528241,-0.1603874480703753,-0.0428010435742902,0.1109608316108606,-0.2336697193915582,0.0314890710567788,-0.1729858956852233,-0.2456799512071409,0.0144993071115319,0.0780212463792524,,,,,,,,
0.0385158582954838,0.1228014287374356,-0.0892251381762851,-0.0739347074913748,0.1620425924215156,0.025462862049048,-0.1570107409489202,-0.0340105172376424,0.1253141429563846,-0.2252792771100144,0.0398575377810175,-0.1477131868450126,-0.2241787319447459,0.0218573799135273,0.1037621508496134,,,,,,,,
0.0614981889458838,0.1285912450454717,-0.0666667139798513,-0.052069906463177,0.1917403410552243,0.0289531448335311,-0.1521236137734056,-0.0228742293617876,0.1416321862797687,-0.215543838988813,0.0496221032270847,-0.1207210190022231,-0.2000401831206213,0.031924910586446,0.1300993879608882,,,,,,,,
0.0847164513678957,0.135256438150145,-0.0432674825231044,-0.0293979772556757,0.2217668935961067,0.0342688254380559,-0.1457301441072395,-0.0095061644922386,0.159763105823355,-0.2047442256657759,0.0607722520721091,-0.0924329244686088,-0.1736291596128691,0.0445205270824627,0.1564986956338951,,,,,,,,
0.1077890143624562,0.1426967988662073,-0.0194065273125656,-0.0063116178605393,0.2515367075727251,0.0413700954068425,-0.1378760312400578,0.0059148839330322,0.1794781673272518,-0.1931743588959689,0.0732643588334465,-0.0633149166288859,-0.1453843373486644,0.0593957401986441,0.1824384282837559,,,,,,,,
0.1303188556677243,0.1507916222234249,0.004519769394708,0.0167812949090372,0.2804519698519203,0.0501634326998982,-0.1286493566022685,0.0231481348310453,0.2004804312770751,-0.1811325728298891,0.087018964867694,-0.0338627792730338,-0.1158072211481843,0.0762387280693721,0.2074233020237045,,,,,,,,
