67_54_beat1,67_54_beat2,67_60_beat1,67_84_beat2,67_82_beat3,67_82_beat4,67_56_beat5
0.0592682027524408,-0.1090710931896585,,,,,
0.0563274451993998,-0.1073588712509142,,,,,
0.0536276014472091,-0.1046897827679014,,,,,
0.051391218800258,-0.1010009597197085,,,,,
0.0498278056501212,-0.0962524896032806,,,,,
0.0491270137078213,-0.0904305686061375,,,,,
0.0494523702586662,-0.0835498078486347,,,,,
0.0509357662846684,-0.0756545713494366,,,,,
0.0536728899446738,-0.0668192615792911,,,,,
0.0577197707779428,-0.0571475117241776,,,,,
0.0630905676659417,-0.0467702910339589,,,,,
0.0697566934732174,-0.035842978276496,,,,,
0.0776473225444673,-0.0245415051675287,,,,,
0.0866512756455537,-0.0130577132490773,,,,,
0.0966202230045467,-0.0015941009939903,,,,,
0.1073730930406636,0.0096418390878676,,,,,
0.1187015256445314,0.0204434816073678,,,,,
0.1303761676342156,0.0306109146490728,,,,,
0.1421535767477349,0.0399565663013523,,,,,
0.1537834810774553,0.0483104221001435,,,,,
0.1650161342819043,0.0555246657918576,,,,,
0.1756095132036998,0.0614776016897309,,,,,
0.185336122247609,0.0660767453948042,,,,,
0.1939891953648507,0.0692609994699666,,,,,
0.2013881187099479,0.0710018609705766,,,,,
0.2073829325778533,0.0713036383041084,,,,,
0.2118578085506934,0.0702026857944462,,,,,
0.2147334356346142,0.0677656955036812,,,,,
0.2159682861224398,0.0640871167587407,,,,,
0.2155587665440837,0.0592858032882038,,,,,
0.2135382903181147,0.0535010142841202,,,,,
0.2099753361010908,0.046887917288327,,,,,
0.2049705793493553,0.0396127559321471,,,,,
0.1986532045841152,0.0318478530392164,,,,,
0.1911765226595544,0.0237666190444869,,,,,
0.1827130312451251,0.0155387277890797,,,,,
0.1734490680059128,0.0073256080828371,,,,,
0.163579214869853,-0.0007236183497096,,,,,
0.1533006182556275,-0.0084756426653368,,,,,
0.1428073935091771,-0.0158158316351367,,,,,
0.1322852809171998,-0.0226503853489384,,,,,
0.1219067144519492,-0.0289077537278946,,,,,
0.1118264522059195,-0.0345393013980458,,,,,
0.1021778992292519,-0.0395192350331282,,,,,
0.0930702297162373,-0.0438438297524095,,,,,
0.0845863871781186,-0.047530010810181,,,,,
