14_23_beat1,14_23_beat2,14_88_beat3,14_88_beat4,14_88_beat5,14_78_beat6,14_78_beat7,14_78_beat8,14_56_beat9,14_56_beat10,14_56_beat11,14_56_beat12,14_21_beat13,14_21_beat14,14_21_beat15,14_57_beat16,14_57_beat17,14_34_beat18,14_34_beat19,14_34_beat20,14_34_beat21,14_43_beat22,14_43_beat23,14_86_beat24,14_86_beat25,14_86_beat26,14_38_beat27,14_38_beat28,14_38_beat29,14_38_beat30,14_40_beat31,14_40_beat32,14_40_beat33,14_33_beat34,14_36_beat35,14_36_beat36,14_99_beat1,14_99_beat2,14_41_beat3,14_41_beat4,14_41_beat5,14_41_beat6,14_24_beat7,14_24_beat8,14_67_beat9,14_67_beat10
-0.2232265812861195,-0.1246474381757206,0.0402014504474218,0.0040820471127851,-0.0208398952188365,-0.1041650942391438,0.0015842865777713,-0.1596452226168804,0.0112328250781962,-0.2597242200760859,-0.0724686056201374,-0.0562260068412063,-0.2521437397392789,-0.0955951405273986,-0.1312161669828017,0.1665219578281355,0.1757229644530373,0.0039065366708545,-0.0534528480794404,-0.0493491358423162,-0.0144975973015368,-0.3625268739226288,-0.0540715769123345,-0.0760832339844225,-0.1014849282725105,-0.1087505840012614,0.0742160466106859,-0.0793864801790685,-0.1129675122466465,-0.1467200633342121,-0.2167275700581166,-0.2243895169562849,-0.1482200316795688,-0.0933999338057821,-0.0468073781980055,-0.0754115715090537,,,,,,,,,,
-0.2218929901150454,-0.1268554441136553,0.0371018277333743,0.0053661085604073,-0.0223146401204943,-0.0986345312514993,0.0027023298226618,-0.158338578068244,0.0268648600902065,-0.2594248241198829,-0.0595349295413874,-0.0550730319160647,-0.2499725913429804,-0.0895782644686368,-0.1310428852911975,0.1684270131680215,0.174645242960423,0.0040330161916901,-0.0433460950513093,-0.0445218670182347,-0.0137734403538639,-0.352327373996447,-0.0541961297895125,-0.0741578093639144,-0.1045203676980585,-0.1090093689945987,0.0844380564598138,-0.0763729261124831,-0.1119130315099893,-0.152687706655683,-0.2193763504930907,-0.2235255355993813,-0.1510044999588524,-0.0865464853224509,-0.0435146616546272,-0.074152878129811,,,,,,,,,,
-0.2178008281393172,-0.1268034354391154,0.0346663580121284,0.0069791630579836,-0.0233873368612604,-0.0911120591072719,0.0040834936326032,-0.1556342256242276,0.0425127703078853,-0.2565492095596939,-0.0449735750795604,-0.0522065459390118,-0.2461016110493447,-0.0817911951871779,-0.1288618876148541,0.1708067830018587,0.1738144740327208,0.0042169103654527,-0.0317473665519538,-0.0379576547624165,-0.0112752885932233,-0.3399475069302647,-0.0530540902427236,-0.0706802223239168,-0.1062562659165339,-0.1081357866610336,0.0973021842466035,-0.072397143084473,-0.1092787844377444,-0.156767305827322,-0.2208597736765692,-0.2205195660322647,-0.152614933870666,-0.0777176312033506,-0.0394939840381633,-0.0723463432247424,,,,,,,,,,
-0.2108706030050478,-0.1244049347405831,0.0329561472385541,0.0089065904734433,-0.0240400878901133,-0.0817173884812773,0.0057234114894189,-0.151463838167404,0.0581807375128728,-0.2510111802250313,-0.0289890490082442,-0.0475596373007015,-0.2405335941627852,-0.0722905891510001,-0.1246054719160417,0.1736431080459011,0.1732646930243286,0.0045089159515707,-0.0188293580525244,-0.0297075241425088,-0.0069468836328064,-0.3255558103302317,-0.0505892704650207,-0.0656573644006399,-0.1065878956314694,-0.1060919563127338,0.1126573943789563,-0.067503578370824,-0.1049927934717985,-0.1587998839025367,-0.2210789350558443,-0.2154405635121487,-0.1529804588243783,-0.0670144577534847,-0.0348199638818655,-0.0699902815245262,,,,,,,,,,
-0.2010813898763033,-0.1196026368090901,0.0320217707438236,0.011125687500923,-0.024261065958987,-0.0706211361068377,0.0076113612403762,-0.1457895958279381,0.0738614162891426,-0.2427779011751833,-0.0118273726177738,-0.041098158753478,-0.2333028283593286,-0.0611815352760008,-0.1182441607427934,0.1769054527306154,0.1730281869044583,0.0049550831603235,-0.0048003847369638,-0.0198603955456192,-0.0007633329026931,-0.3093719809812494,-0.0467655209307467,-0.0591317504618307,-0.1054270494283756,-0.1028625238178334,0.130293072854427,-0.0617600239930926,-0.0990157663732647,-0.1586512631905861,-0.2199549175071362,-0.2083918092455407,-0.1520476604152828,-0.0545838581373743,-0.0295812889009243,-0.0670939448378082,,,,,,,,,,
-0.1884758726338918,-0.1123739656598792,0.0319026276172972,0.0136058729820216,-0.024045135163514,-0.0580428484084548,0.0097301218910347,-0.1386086756606842,0.0895310032205225,-0.2318766551355217,0.0062299094393027,-0.032825934141905,-0.2244771438116473,-0.0486170998474998,-0.1097914744311971,0.1805508480383336,0.1731338809296089,0.0055947740794189,0.010100462294053,-0.0085428906837527,0.0072646481031132,-0.2916619204326697,-0.0415708224808269,-0.0511832386260078,-0.1027074203390598,-0.0984576109925663,0.1499420234212987,-0.0552570657199443,-0.0913457984833914,-0.1562190615282331,-0.2174326365922805,-0.199510143930375,-0.1497841280241221,-0.0406168442605028,-0.0238789745636167,-0.0636783815682312,,,,,,,,,,
-0.1731632207966742,-0.102736207252859,0.0326263265597095,0.0163092646112734,-0.0233943914630381,-0.0442468007076297,0.0120560928249505,-0.1299564750612234,0.1051455552036243,-0.2183995642155566,0.0248733013094322,-0.0227887885870467,-0.2141588342911848,-0.0347957578421201,-0.0993073861204801,0.1845244149432686,0.173605749579285,0.006458904256887,0.0256095135261013,0.0040822728463637,0.0170874279349604,-0.2727309606577704,-0.0350207179548333,-0.0419292650109868,-0.0983896566101161,-0.0929149639818947,0.1712858478610146,-0.0481064929142939,-0.0820220028172778,-0.1514392836236926,-0.2134842115552697,-0.1889643619622537,-0.1461816750361465,-0.0253450886506236,-0.0178241050678525,-0.0597769267651694,,,,,,,,,,
-0.1553195821432683,-0.0907508284171206,0.0342080680627584,0.0191916029655965,-0.0223185924077454,-0.0295356723362036,0.0145596837270817,-0.1199083409305187,0.1206388286860902,-0.2025058617005445,0.0437741897764415,-0.0110770788758253,-0.2024843083638614,-0.0199567550880384,-0.0869001863586155,0.1887604686239804,0.1744613285423761,0.0075685448360668,0.0414458109512386,0.0178192941264649,0.0286143520338403,-0.2529155399114741,-0.0271608303473177,-0.0315234914359189,-0.0924657977105716,-0.0863011248460721,0.1939625752723937,-0.0404387111733811,-0.0711267901573309,-0.1442921430257979,-0.2081116908307511,-0.1769526894650024,-0.1412590272339899,-0.0090357590375111,-0.0115351420682843,-0.0554352564196809,,,,,,,,,,
-0.1351860869782447,-0.0765266091860135,0.0366500030319234,0.0222034773416859,-0.020835443275906,-0.0142423236592977,0.0172059681056456,-0.1085796477897152,0.1359217914098079,-0.1844214138908901,0.0625945486516156,0.0021735378722306,-0.1896223994094868,-0.0043735730706274,-0.0727265623744586,0.1931841684046737,0.1757104028593326,0.0089339465012552,0.0573191622336586,0.03244362678244,0.0417130515256704,-0.2325736849153053,-0.0180682551526318,-0.0201528528140928,-0.0849628090727978,-0.0787114913990329,0.2175762595189385,-0.0323992653899585,-0.0587865682463208,-0.1348067537613123,-0.201348987885759,-0.1636993149464864,-0.1350637736323471,0.0080151849408037,-0.0051349125941117,-0.0507109591391806,,,,,,,,,,
-0.1130643829661926,-0.0602212617180015,0.0399405679977235,0.0252917893990649,-0.0189707069901288,0.0012799879832437,0.0199555778160132,-0.0961241536580996,0.1508838296083138,-0.1644353380776285,0.0809970736848965,0.0167832727911309,-0.175771343936583,0.0116542129342156,-0.0569897921407626,0.1977136443852754,0.1773539407833512,0.0105540271786397,0.0729385866252079,0.0477074848562042,0.0562103141113062,-0.2120747199543945,-0.0078516732109269,-0.0080330853931849,-0.0759449604424527,-0.0702691834473835,0.2417081338585338,-0.0241446393555485,-0.0451706962194098,-0.1230643569482138,-0.1932629184140274,-0.1494499990053313,-0.1276733931486602,0.0254909622395831,0.0012525932419191,-0.0456726040124497,,,,,,,,,,
