11_33_beat1,11_46_beat2,11_37_beat3,11_29_beat4,11_71_beat1,11_48_beat2
-0.234168522654711,0.0118663966522874,-0.2466233381454796,-0.0310919564834592,,
-0.2055834068374453,0.0055348040327641,-0.2566885421647146,-0.0311617894874155,,
-0.1790769323185625,-0.0008612527790421,-0.2658890262257841,-0.0311933202082338,,
-0.1547615446518792,-0.0071818208071634,-0.2739265920314562,-0.0311653315947502,,
-0.1326699022864918,-0.013283594416622,-0.2805006399605174,-0.0310559359712849,,
-0.1127579965150636,-0.0190202188051124,-0.2853164255383259,-0.0308434992998949,,
-0.0949105917451412,-0.0242427999405357,-0.2880937581580849,-0.030507582009479,,
-0.0789487829215695,-0.0288007157952199,-0.2885758755419965,-0.0300298553216503,,
-0.0646393886122406,-0.0325428034434803,-0.286538191807536,-0.0293949524261452,,
-0.0517058290523633,-0.0353189699703983,-0.2817965925580482,-0.0285912167670801,,
-0.0398400821125809,-0.0369822444600374,-0.2742149403989088,-0.0276113144918025,,
-0.0287152696879204,-0.0373912560281388,-0.2637114601808404,-0.0264526843833361,,
-0.0179984048348944,-0.0364130907208827,-0.250263695857266,-0.0251178061438993,,
-0.0073628279708145,-0.0339264493302148,-0.2339117707691276,-0.0236142763258359,,
0.0035001201847807,-0.0298250002626053,-0.2147597405234669,-0.0219546898995487,,
0.0148705999556719,-0.0240207986308185,-0.192974901265229,-0.0201563340120553,,
0.0269912969263954,-0.0164476267490938,-0.1687850031672729,-0.0182407088916584,,
0.0400602370885469,-0.0070641035095943,-0.1424734145968206,-0.0162328988818224,,
0.0542255680225518,0.0041435886756127,-0.1143723804348824,-0.0141608234244006,,
0.0695823831464319,0.0171595006457821,-0.0848546115014555,-0.0120544024334983,,
0.0861715700506086,0.0319363604831609,-0.0543235242592054,-0.0099446724902793,,
0.1039805758355313,0.0483947645047951,-0.0232025155486887,-0.0078628901460006,,
0.1229459068267918,0.0664231869400043,0.0080762975915836,-0.0058396572180386,,
0.1429571211532958,0.0858788486132022,0.0390834203941633,-0.0039041007472054,,
0.1638620335916328,0.1065894512903269,0.0694029540064285,-0.0020831369566198,,
0.185472833726878,0.1283557497944715,0.0986427742916712,-0.0004008435233521,,
0.2075728190132489,0.1509549007294098,0.1264435360082978,0.0011220422885751,,
0.2299234600797278,0.1741444971393533,0.1524861866170241,0.002468489830262,,
