39_78_beat1,39_78_beat2,39_1_beat3,39_1_beat4,39_49_beat5,39_49_beat6,39_3_beat7,39_3_beat8,39_42_beat9
0.063141411970211,-0.0389656230119082,-0.0954094363617048,-0.1960395393536962,-0.2810396326565135,-0.1692142295116771,-0.1081531365525763,0.0436532134211328,0.0749750376525182
0.0565732863540528,-0.0347825553763941,-0.093241590270493,-0.1871416866998702,-0.2889672640362347,-0.161110405296617,-0.1041179394166962,0.0499195725400096,0.0675810183478181
0.0502796012574611,-0.0288607023215334,-0.0891552548078099,-0.176038608519262,-0.2957777884833891,-0.1512664083338051,-0.0998438427531592,0.05602664726058,0.0605088693594757
0.044581217014471,-0.021092703754201,-0.0830246618358818,-0.1627268675142703,-0.3012093558860626,-0.1395964434826722,-0.0953481915289651,0.0620691446791189,0.0541140342038402
0.0397879066611833,-0.0114043644225411,-0.0747591497387799,-0.1472546487045369,-0.3050128532951188,-0.1260495585621285,-0.0906529841417023,0.0681469182369112,0.048738773730646
0.0361911300547348,0.0002399069140951,-0.0643090473957558,-0.1297245229740256,-0.3069599708843711,-0.110614630717307,-0.0857845620557188,0.0743598095850127,0.0447039767460653
0.03405698355578,0.0138326064734397,-0.0516706624909578,-0.1102944750261483,-0.3068509097317392,-0.0933242496586018,-0.0807731621424998,0.0808026326848706,0.0423012184291167
0.0336194559214587,0.0293198479809488,-0.0368900826431744,-0.0891770221198366,-0.3045214642124843,-0.0742572549225418,-0.0756523440788719,0.0875605170450287,0.0417852225689906
0.035074141049239,0.0465994929224923,-0.0200655316082808,-0.0666363357741091,-0.2998492388375212,-0.0535397374551407,-0.0704583109531399,0.0947047981294658,0.0433669004009916
0.0385725769866336,0.06552085651884,-0.0013480754596015,-0.042983375505013,-0.2927587883035289,-0.0313443823087995,-0.0652291462259199,0.1022896070618085,0.047207154219703
0.0442173950085742,0.0858860796019633,0.019059456672836,-0.0185691454926161,-0.2832255008355905,-0.0078881054511577,-0.0600039939548273,0.1103492710306472,0.0534116448243257
0.0520584692845005,0.1074531815672023,0.0409053898191891,0.006223715473997,-0.2712780797854339,0.0165719805521152,-0.0548222115347542,0.1188965928753486,0.0620267248818056
0.0620902537748972,0.1299407320944318,0.0638939203127441,0.0309907110182476,-0.2569995181845749,0.0417441548425176,-0.0497225251341177,0.1279220357513853,0.0730367326268291
0.0742504763554949,0.153034003496963,0.0876915032914631,0.055316258882668,-0.2405265063602774,0.0673090361238174,-0.0447422175703519,0.1373937987311109,0.0863628199421746
0.0884203296014341,0.1763923948986897,0.1119346952445454,0.0787850345866206,-0.2220472636528432,0.0929276290147215,-0.0399163765835058,0.1472587335265612,0.1018634546611043
