57_86_beat1,57_85_beat2,57_50_beat3,57_11_beat4,57_11_beat5,57_4_beat6,57_73_beat1,57_76_beat2
-0.0135448634046814,-0.0248548680452951,-0.0712743246831387,0.0085270154311913,-0.1547797526858748,-0.1206619791087589,,
-0.0134720606821495,-0.0296592857841546,-0.0724793062330705,0.0028691425072475,-0.1557108852764449,-0.1227443971779235,,
-0.0134053857000784,-0.0337622520187406,-0.0735585964476838,-0.0027555371797838,-0.1564363539488614,-0.1247130486121814,,
-0.0133476878467165,-0.0371645567128937,-0.0744634398353894,-0.0082515850784903,-0.1568441759596813,-0.1264957854457359,,
-0.0132919176101216,-0.0398770662124214,-0.0751414180928225,-0.0135161658769811,-0.1568183453820589,-0.1280103492104798,,
-0.0132214510175913,-0.0419184812542736,-0.0755379067098398,-0.0184418096639981,-0.1562430485443162,-0.1291668466640472,,
-0.013110885791395,-0.0433128996509999,-0.0755977089076485,-0.0229194516864945,-0.1550069526965277,-0.1298707603952703,,
-0.0129272565355694,-0.0440873274480671,-0.0752668246219966,-0.026841657400606,-0.1530074257453638,-0.1300263961444503,,
-0.0126316011929143,-0.0442692887065413,-0.0744943044774641,-0.0301059386522265,-0.1501545400350076,-0.1295406364101998,,
-0.0121808000704176,-0.043884682134982,-0.0732341293053786,-0.0326180652460841,-0.1463747146683496,-0.1283268430427266,,
-0.0115296018142584,-0.042956021921336,-0.0714470472501681,-0.034295274442893,-0.1416138592898622,-0.1263087324739898,,
-0.0106327476685586,-0.0415011798075459,-0.0691022955298586,-0.035069279483149,-0.1358398973010311,-0.1234240378487211,,
-0.0094471064649619,-0.0395327156087497,-0.0661791336002517,-0.0348889776361441,-0.1290445674531786,-0.1196277745044013,,
-0.0079337377674557,-0.0370578451230909,-0.0626681187621622,-0.0337227592381638,-0.121244428620917,-0.1148949402910624,,
-0.0060598078784577,-0.0340790507616044,-0.0585720638762616,-0.0315603229124174,-0.1124810224591821,-0.1092225094631669,,
-0.0038002914874384,-0.0305952955584853,-0.0539066291860843,-0.0284139099373059,-0.1028201824297999,-0.1026306155628414,,
-0.0011394004605354,-0.0266037594582428,-0.0487005147510737,-0.0243188832626058,-0.0923505148459088,-0.0951628611296135,,
0.0019283088575085,-0.0221019806580854,-0.0429952347971634,-0.0193335942777924,-0.0811811157312369,-0.086885736717633,,
0.0053971873444602,-0.0170902561025917,-0.0368444696943165,-0.0135385034540399,-0.0694386224359507,-0.0778871756539007,,
0.009250129068941,-0.0115741353644665,-0.0303130060448682,-0.0070345493037792,-0.0572637273703459,-0.0682743115838395,,
0.0134586033626232,-0.0055668323122528,-0.023475291232482,5.9207728141870086e-05,-0.0448073006801129,-0.0581705407513352,,
0.0179830805853674,0.0009086198119075,-0.0164136449038007,0.0076086065931523,-0.0322262783178141,-0.0477120186468134,,
0.0227738348711626,0.0078176314453054,-0.0092161843933141,0.0154679809864401,-0.0196794720139821,-0.0370437407807816,,
0.0277720932424174,0.0151128754640885,-0.0019745330254026,0.02348420993881,-0.0073234497622581,-0.0263153700747827,,
0.0329114873527278,0.0227337660092118,0.0052186100861705,0.031501081721811,0.0046913776999523,-0.0156769785515186,,
0.038119752884431,0.0306066619769227,0.0122719521526097,0.0393638105653891,0.0162243450394866,-0.0052748683178173,,
0.0433206135558437,0.0386458159823852,0.0190980484184843,0.0469235323734357,0.0271476940284609,0.0047523730500768,,
0.0484357817789566,0.0467550438509911,0.0256156088635212,0.0540415989935268,0.0373492282946782,0.0142774426251359,,
0.0533870051587404,0.0548300440029842,0.0317515774530135,0.0605934922671226,0.0467344030909501,0.0231873959388487,,
0.0580980865925525,0.0627612528943895,0.0374428985686849,0.0664721902252613,0.0552278154238804,0.0313861240708857,,
