19_22_beat1,19_22_beat2,19_30_beat3,19_81_beat4,19_70_beat5,19_42_beat6,19_16_beat7,19_58_beat8,19_58_beat9,19_46_beat10,19_46_beat11,19_56_beat12,19_56_beat13,19_53_beat14,19_36_beat15,19_9_beat16,19_61_beat17,19_61_beat18,19_26_beat1,19_34_beat2,19_93_beat3,19_20_beat4
-0.0754853512827992,-0.1027049687735622,-0.0881670596909705,-0.0195433963931313,-0.075990085293276,-0.0883954867834103,-0.1199903118772354,-0.0650045473284792,-0.0824069717959335,-0.1438392941372714,-0.1044579859328107,0.0268372224839091,-0.0537439718951521,-0.0962985201621915,-0.0255701229245686,-0.1013022481905557,-0.0118200969999194,-0.0413339589900294,,,,
-0.0781700559830623,-0.1038396826454023,-0.0891584540198248,-0.0223057213800791,-0.0705094973436423,-0.0912536486448621,-0.1168055356302767,-0.062302798238643,-0.0823741747362906,-0.14678543208696,-0.1079096122628746,0.029673467965686,-0.0588788132098228,-0.0995979549953352,-0.0276046409849248,-0.1002555092599569,-0.0105680938995366,-0.0401251988547592,,,,
-0.0802867654263977,-0.104518637806855,-0.0896979150518079,-0.024994309064677,-0.0645117419690053,-0.093775085552752,-0.1124931453151093,-0.0590469100713453,-0.0818569805671239,-0.1489681714419466,-0.1106996049837044,0.0326296937386852,-0.0638693458046726,-0.1025493354773055,-0.0298078544195139,-0.0983998511685009,-0.0092613141695281,-0.0381964262611978,,,,
-0.0817715806802619,-0.1046796802575876,-0.0897392082976454,-0.0275656236540798,-0.058056283719797,-0.0958721644359917,-0.1070639642601443,-0.0552828351302098,-0.0808083200433664,-0.1502813325388663,-0.1127211753109986,0.0358265274310572,-0.0686265519020631,-0.1050610744924971,-0.0321424843338987,-0.0957115858562754,-0.0078385678963946,-0.0355053799504811,,,,
-0.0825670079303353,-0.1042654221957222,-0.0892431898332725,-0.0299683730969273,-0.0512133220227906,-0.0974582521346145,-0.1005533484906069,-0.051068236594637,-0.0791885486924506,-0.1506298573662535,-0.1138762266518347,0.0393744648131144,-0.0730550907025409,-0.1070411705208254,-0.0345613802702919,-0.0921842739524634,-0.0062438706148842,-0.0320208008714004,,,,
-0.0826242136155304,-0.1032254127454214,-0.0881793914407243,-0.0321446367918079,-0.0440620499335392,-0.0984505715287684,-0.0930209266570284,-0.0464708121107221,-0.0769673250099804,-0.1499333859836572,-0.1140790156178744,0.0433691763379991,-0.0770557130354405,-0.1084000639613971,-0.0370080033499578,-0.087829618548134,-0.0044287305051006,-0.0277237506508197,,,,
-0.0819051964909997,-0.1015182138912119,-0.0865274043765799,-0.0340313687579918,-0.0366886001089598,-0.0987731433928854,-0.0845495019921886,-0.0415662681647995,-0.0741252299500824,-0.1481295055427053,-0.1132595871181133,0.0478874964014149,-0.0805280478175405,-0.1090536496323229,-0.0394172931662027,-0.0826777851776248,-0.0023540517067879,-0.0226085591792655,,,,
-0.0803847736730322,-0.0991132865317532,-0.08427799561907,-0.0355622382293941,-0.0291837561057491,-0.098359694767056,-0.075243152922949,-0.0364360328950214,-0.0706550548048022,-0.145176520313304,-0.1113668237304087,0.0529842655086129,-0.0833736715915572,-0.1089263267969612,-0.0417169242407164,-0.0767771214634479,8.429493596682402e-06,-0.0166833655558228,,,,
-0.0780522792050767,-0.0959925963145964,-0.0814338996109183,-0.0366697514645479,-0.0216405166521954,-0.0971564081029761,-0.0652246064107141,-0.0311648063924528,-0.0665626987176299,-0.1410556080899621,-0.1083709610650174,0.0586901480766264,-0.085499351644628,-0.1079539583895045,-0.0438289405864134,-0.0701932757851771,0.0026752301315183,-0.0099702365362609,,,,
-0.0749128812373066,-0.0921518587711262,-0.0780102411746877,-0.0372875821134126,-0.0141516058849693,-0.0951243854037455,-0.0546319912532344,-0.0258380533205686,-0.0618676341865725,-0.1357722534941671,-0.1042654411674004,0.0650104963577052,-0.0868203368075207,-0.1060866080248687,-0.0456717382912829,-0.0630077405484097,0.005650751617858,-0.0025048668754566,,,,
-0.0709884373862919,-0.0876013578067311,-0.0740345607818091,-0.0373530238189721,-0.0068070235332502,-0.0922417084541477,-0.0436151054809102,-0.0205395425936316,-0.0566029180030232,-0.1293568806563991,-0.0990680041693904,0.0719252773225337,-0.087263559361411,-0.1032909274117997,-0.047162346992369,-0.0553158706526905,0.0089274500287009,0.0056641148075762,,,,
-0.0663178266324251,-0.082366290058442,-0.0695464308321962,-0.0368094688208023,0.0003082742606509,-0.0885049899890838,-0.032331351141188,-0.0153490330656645,-0.0508147450415787,-0.1218646446706244,-0.0928209528020385,0.0793900275139898,-0.0867706076027544,-0.0995520780073094,-0.0482189427359689,-0.0472244501718054,0.0124865113037549,0.0144761940463641,,,,
-0.060956719189745,-0.0764866089720962,-0.064596670014085,-0.0356088109388728,0.0071164800953463,-0.0839303307391792,-0.0209415002956788,-0.0103401932481833,-0.0445615620244187,-0.1133743807787267,-0.0855905629675313,0.0873377537597512,-0.0853003322178569,-0.0948750887202257,-0.0487635082001653,-0.0388488988407193,0.0162989729743902,0.0238603181912582,,,,
-0.0549767717598377,-0.0700163654237555,-0.0592461810473702,-0.0337136709542067,0.0135487538973647,-0.0785536227123639,-0.0096054577065891,-0.0055788278854047,-0.0379127767452877,-0.1039867499603282,-0.0774656539525216,0.0956816575997271,-0.0828309608976674,-0.0892855752726766,-0.0487245427860904,-0.0303102237410242,0.0203272151131532,0.0337364799518779,,,,
