61_77_beat1,61_42_beat1,61_72_beat2
-0.0853254204305224,,
-0.0843756907695138,,
-0.0830119127582785,,
-0.0811948128272645,,
-0.0788889197522012,,
-0.0760643045789289,,
-0.0726982417221331,,
-0.0687767116135955,,
-0.0642956696512182,,
-0.0592620143675844,,
-0.0536941998675817,,
-0.0476224536306943,,
-0.0410885802606232,,
-0.0341453535952143,,
-0.0268555220202964,,
-0.019290472716533,,
-0.0115286178081231,,
-0.0036535774061428,,
0.004247759417024,,
0.0120872146530781,,
0.0197772668132042,,
0.0272328963739627,,
0.0343732791632896,,
0.0411232904676393,,
0.0474147969203211,,
0.0531877253087866,,
0.0583909065447147,,
0.062982699360977,,
0.066931402477601,,
0.070215466546569,,
0.0728235184340531,,
0.0747542106122351,,
0.0760159080644502,,
0.0766262246935909,,
0.0766114211532225,,
0.0760056763872347,,
0.0748502458438317,,
0.0731925202182358,,
0.0710849997380713,,
0.0685842005847527,,
0.0657495121019578,,
0.0626420258517063,,
0.059323359992502,,
0.0558545043047448,,
0.0522947118321292,,
0.0487004621047007,,
0.0451245182304338,,
0.0416150961545669,,
0.0382151596887082,,
0.0349618501689978,,
0.0318860554217652,,
0.0290121195050414,,
0.0263576925072672,,
0.0239337181948308,,
0.021744555974749,,
0.0197882319471428,,
0.0180568113983249,,
0.0165368819180817,,
0.015210132897814,,
0.0140540142921724,,
0.0130424558889543,,
0.0121466281434802,,
0.011335726668976,,
0.0105777642749237,,
0.009840356478199,,
0.0090914882155032,,
0.0083002507983835,,
0.0074375389148628,,
0.0064766977700062,,
0.0053941104957685,,
0.0041697161655029,,
0.0027874496309599,,
0.001235596312849,,
-0.0004929419820009,,
-0.0024004704972634,,
-0.0044844105904431,,
-0.0067372870652373,,
-0.0091467833364078,,
-0.0116958520993472,,
-0.0143628689294625,,
-0.0171218178342109,,
-0.0199425011295983,,
-0.022790770813511,,
-0.0256287844244199,,
-0.028415294592509,,
-0.0311059872472156,,
-0.0336538877053512,,
-0.0360098557071719,,
-0.0381231893935718,,
-0.0399423542228112,,
-0.0414158462336495,,
-0.0424931903445474,,
-0.04312606413593,,
-0.0432695265439172,,
-0.0428833199141596,,
-0.041933203711273,,
-0.0403922696067706,,
,-0.1317516599841071,-0.0037705343047416
,-0.1335549803903934,-0.0040433598258568
,-0.1350162094962922,-0.0040786015179313
,-0.1360513852321164,-0.0038839833379424
,-0.1365714168743916,-0.003471373078006
,-0.1364844410264939,-0.0028561422596596
,-0.1356985328071348,-0.002056540826571
,-0.1341247026309243,-0.0010930993148851
,-0.1316800894985061,1.1933098401752449e-05
,-0.1282912440101073,0.0012351097974448
,-0.1238973796659781,0.0025522650841276
,-0.1184534606368223,0.0039389496637761
,-0.1119329892064188,0.005370824663375
,-0.1043303575828766,0.0068240164765341
,-0.0956626376678437,0.0082754352809161
,-0.0859706991447558,0.0097030605678285
,-0.0753195707062116,0.0110861976995074
,-0.0637979906489418,0.0124057104136304
,-0.0515171303628233,0.0136442351311822
,-0.0386085157340614,0.0147863835103479
,-0.0252212141229372,0.0158189394446731
,-0.0115183939279522,0.016731055178809
,0.0023266047884906,0.0175144481882096
,0.0161345296596849,0.018163596097655
,0.0297246376324557,0.0186759216930896
,0.0429191128445677,0.0190519546710189
,0.0555473250947843,0.0192954518715626
,0.0674497903904115,0.0194134540669572
,0.0784817172996299,0.0194162555888076
,0.0885160481856231,0.0193172636808609
,0.0974459306723598,0.0191327277406807
,0.1051865798752692,0.01888132461084
,0.1116765145699598,0.0185835946242287
,0.1168781698484673,0.0182612338106788
,0.12077790482088,0.0179362599245111
,0.1233854367727031,0.0176300829142799
,0.1247327431905402,0.0173625230620726
,0.124872480661267,0.0171508310036813
,0.1238759755731102,0.0170087717654413
,0.1218308467745557,0.016945838309864
,0.1188383257179403,0.0169666575370331
,0.1150103454585966,0.0170706424495682
,0.1104664758850659,0.0172519283578863
,0.1053307879050163,0.0174996097805904
,0.0997287329873854,0.0177982703398045
,0.0937841255222479,0.0181287734558041
,0.0876163131784895,0.0184692601903766
,0.0813376143784621,0.0187962848929634
,0.0750510921425215,0.0190860110410966
,0.0688487203603421,0.0193153891751911
,0.0628099828717255,0.0194632452683417
,0.0570009284920282,0.0195112196953032
,0.0514736870527608,0.0194445123462941
,0.0462664333674019,0.019252406508347
,0.0414037686574501,0.0189285611670361
,0.0368974734268182,0.0184710769158873
,0.0327475730988155,0.0178823536800624
,0.0289436487950836,0.01716876840318
,0.0254663209577221,0.0163402075381633
,0.0222888331597216,0.0154094927301713
,0.0193786670615938,0.0143917387763596
,0.016699126408878,0.0133036812213961
,0.0142108374021637,0.0121630073095815
,0.0118731237817346,0.0109877190017677
,0.0096452265929628,0.0097955509082282
,0.0074873499239887,0.0086034597884949
,0.0053615241817509,0.0074271961648745
,0.00323228722665,0.0062809629382115
,0.0010671907801868,0.0051771609465616
,-0.0011628549223366,0.0041262173451393
,-0.003483380966243,0.0031364895800313
,-0.0059162834504329,0.0022142355590391
,-0.0084798476726401,0.0013636393223494
,-0.0111888470740104,0.0005868809870508
,-0.0140546890943263,-0.0001157601435224
,-0.0170855783844809,-0.0007457797867662
,-0.0202866670629487,-0.001306309647422
,-0.0236601626341271,-0.0018019732013537
,-0.027205367396948,-0.0022387426858227
,-0.030918628795968,-0.0026238018278034
,-0.0347931878416738,-0.0029654168842272
,-0.038818921768333,-0.0032728165689596
,-0.042981986765283,-0.0035560794594789
,-0.0472643763474921,-0.0038260256195487
,-0.0516434204380839,-0.0040941075842343
,-0.0560912593830904,-0.004372294648001
,-0.0605743356455399,-0.0046729436570543
,-0.0650529533228181,-0.0050086493045506
,-0.0694809612659117,-0.0053920673164615
,-0.0738056187900392,-0.0058357049072331
,-0.0779677029766638,-0.0063516744469071
,-0.0819019124651246,-0.0069514083771818
,-0.0855376136225045,-0.0076453360211929
,-0.0887999607636682,-0.0084425260227868
,-0.0916114030815055,-0.0093503016443885
,-0.0938935681851752,-0.0103738398912971
,-0.0955694870557201,-0.0115157691980726
