46_71_beat1,46_71_beat2,46_13_beat3,46_13_beat4,46_61_beat5,46_61_beat6,46_61_beat7,46_39_beat8,46_31_beat9,46_31_beat10,46_31_beat11,46_33_beat12,46_49_beat13,46_49_beat14,46_74_beat15,46_74_beat16,46_75_beat1,46_18_beat2,46_38_beat3,46_32_beat4,46_6_beat5,46_6_beat6,46_6_beat7,46_5_beat8
-0.0424980007752228,-0.1321679839688613,-0.3576719601992991,-0.0278191526881768,0.0075900632329484,-0.2086525558346392,-0.2137800195792273,0.0131765839918069,-0.1734316584467344,-0.0301306865228408,-0.1980707377189661,-0.0173653831704875,-0.09348803682048,-0.0770943327820484,-0.1142393609770141,-0.183059766466912,,,,,,,,
-0.0455977085144773,-0.1362344824866939,-0.3531411556286373,-0.0292593971803554,0.0040781490471038,-0.2144978905040615,-0.2121467888747539,0.0108796408821027,-0.1709635225330993,-0.0337513121624518,-0.1940359704406367,-0.0165591944596969,-0.097284011976996,-0.0802349808764646,-0.1205423872421716,-0.1784336400687832,,,,,,,,
-0.0473704112700456,-0.1391671815069434,-0.3466496486603503,-0.0295961198457777,0.0019457678191072,-0.2194485938219322,-0.2092942695061974,0.0090126862362597,-0.1667636032838857,-0.0364345062106861,-0.1880586905755791,-0.0151149956120069,-0.0998686260440707,-0.0821205764871116,-0.1260310505128402,-0.1716111332106309,,,,,,,,
-0.0476347580006769,-0.1407405476250445,-0.3381399956125776,-0.0286730304175641,0.0013422420338711,-0.2233714748929399,-0.2051497995844904,0.0078138170636194,-0.1607412891879919,-0.0379910309518025,-0.1801450534141354,-0.0129963580232181,-0.1010337461525946,-0.0825300645625526,-0.130444538760895,-0.1625567493302507,,,,,,,,
-0.0462382654508206,-0.1407470807889531,-0.3276080177968669,-0.0263577114383577,0.0023829505283216,-0.2261419490956791,-0.199675385446059,0.0074958379314642,-0.1528487896039672,-0.0382479689189344,-0.1703559331577794,-0.0101813246139299,-0.1005919601656753,-0.0812638023411918,-0.1335278696652423,-0.1512962592962701,,,,,,,,
-0.0430648157483384,-0.1390064955663246,-0.3151063774389771,-0.0225481828888633,0.0051438392894014,-0.2276488072877713,-0.192870840881536,0.0082388106070894,-0.1430862551849249,-0.0370560630006981,-0.1588084568417061,-0.0066641728933741,-0.0983845947259974,-0.078152017102847,-0.135041488194501,-0.137919700983489,,,,,,,,
-0.0380412845489455,-0.1353744521527468,-0.3007460849756505,-0.0171787132297484,0.0096570223561016,-0.2277989064894725,-0.1847756528450684,0.0101839505978539,-0.1315054870811945,-0.0342967012252143,-0.1456753542296922,-0.0024567649562949,-0.0942891836154134,-0.0730627886944998,-0.1347709298821172,-0.1225820842127195,,,,,,,,
-0.031142978196504,-0.1297504503057472,-0.2846957310260922,-0.0102246019830791,0.0159076889622435,-0.2265216168086096,-0.1754694330357801,0.0134290584896729,-0.1182119398447228,-0.029888259905434,-0.1311820003819317,0.0024105895672301,-0.0882260894554258,-0.0659092544839169,-0.132536216042763,-0.1055016108326386,,,,,,,,
-0.0223975764098378,-0.122084504997497,-0.2671783400306819,-0.0017056760585153,0.0238325003210691,-0.2237728564239123,-0.1650708651527775,0.0180255990491526,-0.1033647773033008,-0.023791511991913,-0.1156011512691713,0.007888820403452,-0.0801639860559224,-0.0566557278441584,-0.1282006214644657,-0.0869553272505426,,,,,,,,
-0.011887313244422,-0.112382246514151,-0.248465864711593,0.0083117269128876,0.0333196153080749,-0.2195385472251897,-0.1537351193382723,0.0239774688420772,-0.0871748184446313,-0.0160138133784913,-0.0992455087135239,0.013910380850038,-0.0701239239720601,-0.0453224247347366,-0.1216784386919928,-0.0672722541713837,,,,,,,,
