55_8_beat1,55_55_beat2,55_56_beat3,55_99_beat4,55_29_beat5,55_29_beat6,55_29_beat7,55_41_beat8,55_13_beat9,55_10_beat1,55_36_beat2,55_24_beat3,55_12_beat4
-0.0460317589087628,-0.0239440799518634,-0.0008311410947585,-0.1300157068757714,-0.1097405784572235,-0.1063315902589766,-0.1058623769278744,-0.0573605702558058,-0.0632366079606202,,,,
-0.0508247802689279,-0.025782871151926,0.0008736429988673,-0.1032065932926677,-0.1100317394681269,-0.1024702188052056,-0.104193151657988,-0.0592129791553523,-0.0627679019788687,,,,
-0.0546438109902773,-0.026573958102938,0.0034917991901437,-0.0768423493340975,-0.1097254106241588,-0.0972685550017405,-0.1012649178851501,-0.0609310435981255,-0.0615250207612256,,,,
-0.0573729541631063,-0.0263099976513434,0.007082935984407,-0.051080415759541,-0.1087573950719513,-0.0906906972103529,-0.0970196093276901,-0.0624250254227679,-0.0594395372995164,,,,
-0.058907572269898,-0.0249943724868025,0.0116862190620678,-0.0260600037341123,-0.1070617155029959,-0.0827361085160141,-0.0914277043015099,-0.0636082761183958,-0.0564628716054036,,,,
-0.0591567393429058,-0.0226412205415463,0.0173174540573352,-0.0019000923509901,-0.1045744343003886,-0.0734417174874784,-0.0844910153371934,-0.0644001975872089,-0.0525690667986494,,,,
-0.0580460377648689,-0.0192757723178145,0.0239668641965214,0.0213014696270338,-0.101237828194857,-0.0628827917592614,-0.0762446519071423,-0.0647291270231091,-0.0477567927118202,,,,
-0.0555206484713409,-0.0149349480232873,0.0315976851215135,0.0434677538963993,-0.0970047177101514,-0.0511724987468139,-0.0667580151568665,-0.0645350438083801,-0.042050488409297,,,,
-0.0515486297452823,-0.0096681309099457,0.0401456709217684,0.0645415297568152,-0.0918427328444724,-0.0384601234845754,-0.0561347143049407,-0.0637719925965887,-0.0355005950335926,,,,
-0.0461242279334834,-0.0035380031689523,0.0495195694232837,0.0844832038167766,-0.0857382878408891,-0.0249279730899115,-0.0445113351028626,-0.0624101185204909,-0.0281828722133085,,,,
-0.0392710181328249,0.0033786912450251,0.0596025829812171,0.1032681515283215,-0.0787000407375764,-0.010787056402144,-0.0320550395850973,-0.0604372185911454,-0.0201968320159593,,,,
-0.0310446389551744,0.0109906040929757,0.0702547860393481,0.120883694678217,-0.0707616282609193,0.0037283179572712,-0.0189600306096179,-0.0578597277601539,-0.0116633614883744,,,,
-0.0215348673030443,0.0191916074058596,0.0813164256495162,0.1373259769729815,-0.0619834935530149,0.0183668343141397,-0.0054429706638207,-0.0547030780259598,-0.0027216361434782,,,,
-0.0108667802496095,0.0278611186241776,0.0926119892181607,0.1525969659650836,-0.0524536625749788,0.0328671240575464,0.0082625025656964,-0.0510113933445309,0.0064745490097576,,,,
0.0007992262724993,0.0368650342458413,0.1039548880622597,0.1667017704415548,-0.0422873733396676,0.0469651234899028,0.0219119755638907,-0.0468465108259357,0.0157608877566675,,,,
0.0132687479306232,0.0460573437039565,0.1151525785255305,0.1796464149454515,-0.0316255180146418,0.0604015614040469,0.0352569489700128,-0.0422863484382545,0.0249669583251227,,,,
0.0263161331619509,0.0552824511463304,0.1260119261082621,0.1914361631392538,-0.0206319181459154,0.0729292991757415,0.0480517688763236,-0.0374226695866952,0.0339207528193163,,,,
0.039688735872861,0.064378184353157,0.1363446126525575,0.2020744334995653,-0.0094895139064043,0.0843202563986837,0.0600605376374272,-0.0323583236165781,0.0424531914647317,,,,
0.0531126091101375,0.0731794208394983,0.145972391055871,0.2115623074807545,0.0016043947390916,0.0943716778255528,0.0710637434571396,-0.0272040665319596,0.0504024820438321,,,,
0.0662994944284454,0.0815222145718632,0.1547320043680677,0.2198985941427407,0.0124436676225669,0.1029115306526193,0.0808643621788371,-0.0220750862126186,0.0576181975016653,,,,
0.0789548716372873,0.0892482656869771,0.1624796046414982,0.2270803875567523,0.0228193787884769,0.1098028624605777,0.0892932100431575,-0.017087369744078,0.0639649595600926,,,,
0.0907867559650859,0.0962095431290902,0.1690945303060147,0.2331040339422126,0.0325261544780002,0.1149469966732281,0.0962133607359809,-0.0123540563252308,0.0693256330606593,,,,
0.1015148708584207,0.1022728491486471,0.1744823282088561,0.2379664132682215,0.0413685326206355,0.1182854915096386,0.1015234820901422,-0.0079819174825381,0.0736039547771097,,,,
0.1108797890264673,0.1073241073240124,0.178576936718103,0.2416664335479638,0.0491670852877675,0.119800837470494,0.1051599950439115,-0.0040680976527588,0.0767265414950745,,,,
0.1186516239962499,0.1112721629550908,0.1813419780723151,0.2442066342462635,0.0557640616724811,0.1195159150039944,0.1070980069782388,-0.0006972337817837,0.0786442446723048,,,,
0.1246378692515957,0.1140519055580675,0.1827711399870597,0.2455947976749584,0.0610283351988126,0.1174922761796146,0.1073510205447324,0.0020609462832931,0.0793328420287484,,,,
0.1286900200157742,0.1156265557715202,0.1828876570456527,0.2458454738096343,0.064859471693163,0.1138273507150085,0.1059694653776202,0.0041534690153595,0.078793078865148,,,,
0.1307086703899119,0.1159890004816871,0.1817429305663975,0.2449813342424363,0.0671907741426709,0.1086507070470698,0.1030381420497871,0.0055453508907613,0.077050092617985,,,,
0.1306468514111362,0.1151621071566432,0.1794143508319697,0.2430342841010327,0.0679912018765198,0.1021195232507325,0.0986727040505139,0.0062201969882029,0.074152272010142,,,,
0.1285114590402956,0.1131979978821818,0.1760024075428492,0.2400462755016242,0.0672661066001585,0.0944134405039205,0.0930153334683614,0.0061801605779514,0.070169616203308,,,,
0.1243627108190773,0.110176312254464,0.1716271930601909,0.2360697813984061,0.0650567730800427,0.0857289834039916,0.08622978874522,0.005445286306605,0.065191669019047,,,,
0.1183116617476047,0.1062015333982136,0.1664244184114084,0.2311679039111305,0.0614387968445604,0.0762737366622455,0.0784960178624461,0.0040522820393047,0.0593251085143803,,,,
0.1105158993754917,0.1013994907643661,0.1605410741270629,0.225414106053862,0.0565193734567468,0.0662604665227051,0.0700045373903565,0.0020527840295246,0.0526910734186265,,,,
0.1011736204396894,0.0959131853241324,0.1541308767556304,0.2188915700466232,0.0504336121924456,0.0559013677864782,0.06095077697439,-0.0004888036662857,0.0454223058822758,,,,
0.0905163619480532,0.0898981061320342,0.1473496473163416,0.2116921988798391,0.043340019877626,0.0454026038772834,0.0515295803749323,-0.0034978019593062,0.0376601854124254,,,,
0.0788007142812269,0.0835172214429266,0.1403507698359414,0.2039152903675912,0.0354153269613928,0.0349592886039535,0.0419300388810292,-0.0068919790558901,0.0295517224812014,,,,
0.0662993795415145,0.076935832826139,0.133280876176592,0.1956659244143679,0.0268488468383633,0.024751035298735,0.0323308118415237,-0.0105843941698523,0.0212465727860062,,,,
0.0532919532293452,0.0703164777682247,0.1262758972390728,0.1870531143821611,0.0178365708059377,0.0149381733241549,0.0228960632692197,-0.0144862524658019,0.0128941251676024,,,,
0.0400558013097611,0.0638140560996984,0.1194576100000448,0.178187781906549,0.0085752050683224,0.0056587049778443,0.0137721139251362,-0.0185096629305042,0.0046407082740782,,,,
0.0268573797953696,0.0575713392991751,0.1129307945138742,0.1691806208657706,-0.0007436469100242,-0.0029739513175628,0.005084875986984,-0.0225701969470828,-0.0033730464603743,,,,
