65_45_beat1,65_44_beat2,65_62_beat3,65_62_beat4
-0.0231788661143972,0.0098056253558835,-0.0295614056372426,-0.1262668880245225
-0.0224114942520515,0.0102197298672036,-0.032360009434191,-0.1241914957938239
-0.0211024187806366,0.0108020275749382,-0.0351556164124086,-0.1213695273059487
-0.019252312970151,0.0115679626859527,-0.0378637653164517,-0.1177321831554908
-0.0168721712294234,0.0125280756899954,-0.0403947501772353,-0.1132218064417528
-0.0139826669705429,0.0136874437806984,-0.0426556483213836,-0.1077951982750192
-0.0106133512030092,0.0150453115243471,-0.0445526000282367,-0.1014266966799546
-0.0068017311754509,0.016594929377421,-0.0459933051662691,-0.0941108570954614
-0.0025922687938415,0.0183236095028907,-0.0468896848810704,-0.0858645776876994
0.0019646626739405,0.0202129993429222,-0.0471606392253078,-0.0767285280294733
0.0068138283011145,0.0222395640379596,-0.0467348162286102,-0.0667677657259058
0.0118961580499797,0.0243752595901659,-0.0455532958215622,-0.056071461478006
0.0171497292583589,0.0265883702379433,-0.0435720842974591,-0.0447516967453498
0.0225106954815458,0.0288444763740984,-0.0407643121785957,-0.0329413463373981
0.0279141649601696,0.0311075139156458,-0.0371220306599032,-0.0207911069760405
0.0332950443652596,0.0333408825591375,-0.0326575092174701,-0.0084657780693963
0.0385888728075219,0.0355085589002966,-0.0274039494847597,0.0038600609502924
0.0437326746773106,0.0375761709277182,-0.0214155483211296,0.0160068039419865
0.0486658554143385,0.0395119928955961,-0.0147668663757118,0.0277948118000471
0.0533311508799151,0.0412878240589749,-0.0075514871617776,0.0390494498724905
0.0576756205833801,0.0428797211167982,0.0001200154575438,0.0496059755380975
0.0616516532001495,0.0442685620046233,0.0081227486483307,0.0593140938902216
0.0652179367112369,0.04544042712314,0.0163207244329336,0.0680420177672352
0.0683403393775088,0.0463867923835355,0.0245705202689815,0.0756798924044922
0.0709926509043872,0.0471045361130146,0.0327252385034184,0.0821424738411942
0.0731571418080973,0.0475957687493045,0.0406386131917859,0.0873709828838562
0.0748249096681087,0.0478675003675751,0.0481691078069348,0.0913340915437742
0.0759959917545296,0.0479311664023729,0.0551838503004418,0.0940280346560969
0.0766792337837561,0.0478020363193851,0.061562261793325,0.0954758738843962
0.0768919141594881,0.0474985332530544,0.0671992509135457,0.0957259727036585
0.0766591320512159,0.0470414945808777,0.0720078665698003,0.0948497678670799
0.0760129761182005,0.0464534039723539,0.0759213266590764,0.0929389444979942
0.0749914986546614,0.0457576246218426,0.0788943673851537,0.0901021380036256
0.0736375274458221,0.0449776611827619,0.0809038858093026,0.0864612964371799
0.0719973546493469,0.0441364744764106,0.081948875393238,0.0821478417356266
0.0701193482992125,0.043255868603585,0.0820496795291414,0.0772987674776291
0.0680525369817473,0.0423559650256238,0.0812466108060116,0.0720528047275334
0.0658452210518732,0.0414547729445556,0.0795980038122325,0.0665467768451534
0.0635436637471988,0.0405678603167711,0.0771777865349348,0.0609122498981693
0.0611909123940185,0.0397081254204534,0.074072669766725,0.0552725686534877
0.0588257936431968,0.0388856652984903,0.0703790650645801,0.0497403498650697
0.0564821176667288,0.0381077347383297,0.0661998491223128,0.0444154849931271
0.0541881150737007,0.0373787877184292,0.0616410951159681,0.0393836835451229
