22_5_beat1,22_95_beat2,22_95_beat3,22_76_beat4,22_77_beat5,22_77_beat6,22_31_beat7,22_31_beat8,22_96_beat9,22_84_beat10,22_33_beat11,22_99_beat12,22_48_beat13,22_48_beat14,22_58_beat15,22_58_beat16,22_19_beat17,22_19_beat18,22_19_beat19,22_14_beat20,22_45_beat21,22_41_beat22,22_41_beat23,22_6_beat24,22_79_beat25,22_79_beat26,22_15_beat1
-0.0267290595915174,0.0082298875634403,-0.0136652250162384,-0.0276348270673929,-0.0222179792514802,-0.0261137628054454,-0.0262475432411357,-0.0290248409755217,-0.0204776767903653,-0.0494926986723217,-0.0339910011520979,0.0132391643278657,-0.0333673129587748,-0.0285306470379309,-0.02513698050561,-0.0088915211323226,0.0023786198211788,-0.0140530958230566,-0.0208815453426723,-0.029861952172188,-0.0023372430805034,-0.0110151555661116,-0.0038234002065604,-0.0348999825317753,0.0066417241972384,-0.0317992879281282,
-0.0266908074500272,0.008855918290916,-0.0117385911405438,-0.0240660748848474,-0.0193915305727042,-0.0262306631752575,-0.0242951465222493,-0.0288573102332459,-0.0202518124141147,-0.0477175748253871,-0.0333579389819934,0.0119799339392691,-0.0307824619896908,-0.0281677371478094,-0.0240271662119635,-0.0066699482265903,0.0028560345977637,-0.0143025811042623,-0.0206292086573364,-0.0275432428657805,0.0022784028006064,-0.0111851009891161,-0.0021807923706463,-0.0328927479793369,0.0079134236969349,-0.0319517236417039,
-0.0262922457473004,0.0095194633349932,-0.0096156999794174,-0.0204371558052139,-0.01645674128259,-0.0261405335289434,-0.0221071055318286,-0.0284079900350976,-0.0198857341251815,-0.0455243837835318,-0.0324475845332453,0.0107488013705394,-0.0278681624582076,-0.0274866697004761,-0.0226648927363362,-0.0042969057248549,0.0033493808735586,-0.0144112458284491,-0.0202249708068831,-0.0250130562737416,0.0067338838974354,-0.011327173645297,-0.0005957671607928,-0.030579137969064,0.0092217599193543,-0.0319203240251162,
-0.0255398834732657,0.0102519284013561,-0.0073257765967548,-0.0167983052200754,-0.013459836825083,-0.0258286402988125,-0.019708781344891,-0.0276666700703657,-0.0193735134926302,-0.0429239867819194,-0.0312593444703435,0.0095872009728543,-0.0246602772987572,-0.0264757554736194,-0.021061585163531,-0.0018019751692926,0.0038725678453934,-0.0143690977186259,-0.0196679807837984,-0.0223051208184144,0.0110022231647553,-0.0114321159289653,0.0009206024760802,-0.0279854824838349,0.0105941112067002,-0.0316795020472842,
-0.0244474905392407,0.0110820032279117,-0.0049022622392701,-0.0132001806341431,-0.0104486243104229,-0.0252831602575313,-0.0171305249218259,-0.0266287137406799,-0.0187118408246561,-0.0399351230675867,-0.0297969762951713,0.0085353230128068,-0.0212022069984649,-0.0251298009211161,-0.0192346126414766,0.0007820589439178,0.0044381182325133,-0.0141686183164279,-0.0189606159879742,-0.0194573606484366,0.0150620775599512,-0.0114907673433724,0.0023582550229027,-0.0251434100332335,0.0120546979787285,-0.0312078198511737,
-0.0230358111215915,0.0120344502476246,-0.0023819883976064,-0.0096924269289707,-0.0074711815704474,-0.0244958142560291,-0.0144069615833023,-0.0252954196523458,-0.0179003378369351,-0.0365839398126949,-0.0280686482095929,0.00763128145436,-0.0175438986437381,-0.0234506507187387,-0.0172069269453396,0.0034200302834743,0.0050565834210385,-0.013805136667072,-0.0181085449294924,-0.0165109090996989,0.0188975317543129,-0.0114943440123115,0.0037083284451048,-0.022088908094556,0.0136232898966493,-0.030489179153889,
-0.0213320794272492,0.0131290559510012,0.0001957689570611,-0.0063222840552932,-0.0045745363054945,-0.0234624378669523,-0.0115761300606787,-0.0236742006888828,-0.0169417858656681,-0.0329033164016987,-0.0260869179402835,0.0069103115674129,-0.0137406185329015,-0.0214475221302463,-0.015006515272306,0.0060752888536218,0.0057360517063402,-0.0132771252133549,-0.0171206796013516,-0.0135090161053814,0.0224978193248993,-0.011434721221963,0.0049633288445622,-0.0188612809793545,0.0153141255251419,-0.0295138240842435,
-0.0193693439087931,0.0143797883244358,0.0027903204150519,-0.0031332875050912,-0.0018033836896395,-0.0221834586003376,-0.0086785073159721,-0.0217785686685544,-0.0158422563723107,-0.0289320116622099,-0.0238686292390053,0.0064040107028272,-0.0098515315227552,-0.0191371079534392,-0.0126656855078652,0.0087106439116014,0.0064817718051229,-0.0125864028206199,-0.0160090173946066,-0.0104958894108931,0.0258569842373193,-0.0113047087845187,0.0061172746246368,-0.0155020513366711,0.0171350963833686,-0.0282791044630531,
-0.0171856149012765,0.0157941935301095,0.0053606417365826,-0.0001641067116357,0.0008011117378299,-0.0206642516526661,-0.0057559545165288,-0.0196279211464279,-0.0146111343418371,-0.024713668750285,-0.0214347256540465,0.0061396368547678,-0.0059381383917247,-0.0165434339733467,-0.0102202090736416,0.0112893186171484,0.0072959074572767,-0.0117382335128496,-0.0147883775109655,-0.0075155113438684,0.0289734929827762,-0.011098308793161,0.007165811224439,-0.0120538502951503,0.0190872325934768,-0.0267899588786953,
-0.0148228594563977,0.0173730534958583,0.0078664609833097,0.0025524403686389,0.0032023885775876,-0.0189153502211229,-0.0028506220248222,-0.0172471357384069,-0.0132610295605746,-0.0202957167574591,-0.0188099819718307,0.0061394808145835,-0.0020626280997737,-0.0136974670014957,-0.0077083521722976,0.0137758841583313,0.0081774319782586,-0.0107413138283285,-0.0134760416005635,-0.004610472865916,0.0318498057430122,-0.0108109456055343,0.0081062918484261,-0.0085593375384135,0.0211645110266358,-0.0250590904925739,
