13_28_beat1,13_28_beat2,13_28_beat3,13_30_beat4,13_30_beat5,13_30_beat6,13_30_beat7,13_30_beat8,13_4_beat9,13_84_beat10,13_84_beat11,13_84_beat12,13_26_beat13,13_26_beat14,13_2_beat15,13_2_beat16,13_2_beat17,13_2_beat18,13_2_beat19,13_9_beat20,13_9_beat21,13_9_beat22,13_9_beat23,13_3_beat1,13_3_beat2
-0.2893921350162745,-0.0982092548381966,-0.0764482351255007,-0.0234291784923875,-0.1868788007551109,-0.1832460632830591,-0.1773841847165725,-0.1852846707845008,0.0919088136548112,-0.1177918537950781,-0.0971371221442414,0.0307914210756856,-0.1787624482539219,-0.1241008397689522,0.0259525892798047,-0.0332495107166807,-0.1404125403162459,-0.2120614444025668,-0.1580002081252313,-0.1469913430906609,-0.1055444028482172,-0.0070686382960857,0.0416656722768138,,
-0.2713501576423531,-0.0966893484230893,-0.0766680030316737,-0.0183046736370828,-0.1869040492616097,-0.1842886788369819,-0.1804340657622337,-0.1906440204335237,0.1116515310550112,-0.1160663511046431,-0.0968006901405982,0.0308054669803319,-0.1783709531307165,-0.1250445381550443,0.0222791454306645,-0.0379527185048679,-0.1298957839345187,-0.2121524890528348,-0.1593513349664131,-0.1437966197396436,-0.1037385098778869,-0.0071553714732682,0.0352928145953547,,
-0.2508189401153678,-0.093757197479002,-0.075333517206668,-0.0111877408576822,-0.1848737850144885,-0.1834101275227337,-0.1816582916414211,-0.1943400114829405,0.1325479838984549,-0.1142374502765037,-0.0963380660712023,0.0320858351244034,-0.1769270840510038,-0.1243745965304702,0.0188298907118256,-0.0418798000669446,-0.1179138543771894,-0.2100452911664179,-0.158769346143982,-0.1389039244980146,-0.1002365700472802,-0.0058368557681055,0.0306204383964946,,
-0.2279576852352895,-0.0893451304001069,-0.0724478627265526,-0.0021539017233134,-0.1807548804051705,-0.1805701944172536,-0.1809773079715727,-0.196270979404598,0.1543260671820137,-0.1123251934747802,-0.0957436582126387,0.0346785201459832,-0.17439567404969,-0.1220107539685651,0.0158088691397093,-0.0449639887718897,-0.1046444741976893,-0.2057170491878454,-0.1561799271199871,-0.1323433066489185,-0.0950265415096992,-0.003045725333132,0.027799107263846,,
-0.2029982512548775,-0.0834125737477611,-0.0680393695993804,0.0086796242642134,-0.1745534489310997,-0.1757601084662063,-0.1783388093850745,-0.1963522216061942,0.1766914136680808,-0.1103524827515519,-0.095014466849298,0.0386009833480385,-0.1707571063145617,-0.1179013429015777,0.0134043248040941,-0.0471446660371867,-0.0902952453039887,-0.1991866879833959,-0.1515398942722485,-0.1241777598356644,-0.0881294352897488,0.0012637825437568,0.0269469249813021,,
-0.1762413266754757,-0.0759506133977672,-0.0621635584420623,0.0211546757219748,-0.1663184573883138,-0.1690061481023512,-0.1737222119528975,-0.194520528048699,0.1993364994458978,-0.1083443869251561,-0.0941504418804974,0.0438387830402817,-0.1660095434296951,-0.1120274665617561,0.0117815291618289,-0.0483698328199843,-0.0750985147911528,-0.1905173193632584,-0.1448415154052302,-0.1145044041408281,-0.0796015284210815,0.007111787252744,0.0281428705986874,,
-0.1480493395912486,-0.0669857279525126,-0.0549044885419144,0.0350744768373762,-0.1561438752501115,-0.1603724081329426,-0.1671425807266105,-0.1907387416700217,0.2219500464795258,-0.1063273655701263,-0.093154743515253,0.0503433907389157,-0.1601706787908014,-0.1044065459967121,0.0110765271718212,-0.0485987668748718,-0.0593052994186597,-0.1798172800837296,-0.1361159862157187,-0.1034544619497613,-0.0695354353342123,0.0144892590135909,0.0314209649753729,,
-0.118836236305868,-0.0565824295789911,-0.0463753086891149,0.0502074982532615,-0.1441691723079312,-0.1499624655645137,-0.1586537258014022,-0.185000061081078,0.2442263642162727,-0.1043284432031131,-0.0920338868802453,0.0580313655958068,-0.1532788935595778,-0.0950949678652422,0.0113910623513259,-0.0478047165126325,-0.0431785266170432,-0.167239626101089,-0.1254357758832727,-0.0911919291739868,-0.0580598849742069,0.0233553031624793,0.0367656427513879,,
-0.0890545086778931,-0.0448445851261959,-0.0367178435905192,0.0662927227634578,-0.1305780647812708,-0.1379197335605553,-0.1483502054681244,-0.1773317863609068,0.2658742584843396,-0.1023743690085271,-0.0907977566803863,0.0667849903053071,-0.1453937359126275,-0.0841895820982551,0.0127888909888385,-0.0459774634506561,-0.0269858848287115,-0.1529800379317362,-0.1129156031600194,-0.0779109183309981,-0.045338113578467,0.0336354650401445,0.0441086719768351,,
-0.0591801070387817,-0.0319152445617154,-0.0261010996958821,0.0830461057017056,-0.1155955062840169,-0.1244263621324035,-0.1363680203611158,-0.1677982161377093,0.286625141262701,-0.1004907977412163,-0.0894594848816363,0.0764543915981089,-0.1365956796878165,-0.0718278352590711,0.0152936347094942,-0.0431255791085077,-0.0109925945995195,-0.1372731722799255,-0.0987118741945012,-0.063831729882163,-0.0315648566409804,0.0452212425562124,0.053327905398887,,
