10_56_beat1,10_44_beat2,10_66_beat3,10_14_beat4,10_86_beat5,10_67_beat6,10_94_beat1,10_68_beat2,10_98_beat3,10_98_beat4,10_36_beat5
-0.1105138153952863,-0.1026576012685063,-0.077814310811262,-0.1734876706956343,-0.0375380572901792,-0.1220983878818189,,,,,
-0.1112242566155487,-0.1030228970825405,-0.0834412687396765,-0.1753870855653735,-0.0405069619131812,-0.1210586275892097,,,,,
-0.1115371552757973,-0.1029015627229247,-0.0883819803688784,-0.1757444120989919,-0.0428909166989654,-0.1192125311817933,,,,,
-0.1113906774898889,-0.1021990950472411,-0.0925186728690228,-0.1743843303430655,-0.0446410285706199,-0.1165053374542836,,,,,
-0.1107224642672212,-0.100823071549951,-0.0957437397099082,-0.1711633519088225,-0.0457199957097241,-0.1128875920736964,,,,,
-0.1094714714756439,-0.098686208582217,-0.0979625829303292,-0.1659774627643799,-0.0461031153080874,-0.1083182520725696,,,,,
-0.1075800490285852,-0.0957096474604483,-0.0990961813133527,-0.1587686476742689,-0.0457789938075081,-0.1027679299599082,,,,,
-0.1049961924742464,-0.0918263652256779,-0.0990833153726996,-0.1495299294900289,-0.0447499489421268,-0.0962220930795567,,,,,
-0.1016758822232108,-0.0869845852487413,-0.097882390112697,-0.1383086260761664,-0.0430320964361917,-0.0886840234697936,,,,,
-0.0975854104994183,-0.0811510452607588,-0.0954728077681789,-0.1252076150368504,-0.0406551164600149,-0.0801773446169465,,,,,
-0.0927035851265384,-0.0743139681239942,-0.0918558549954104,-0.1103844940809794,-0.0376616973192809,-0.0707479345413087,,,,,
-0.087023693888643,-0.0664855754111967,-0.0870550815865064,-0.0940486259338851,-0.0341066577804225,-0.0604650692318782,,,,,
-0.0805551148208801,-0.0577039872333145,-0.0811161600769482,-0.0764561557406375,-0.0300557556543369,-0.0494216751961784,,,,,
-0.0733244675435752,-0.0480343648608248,-0.0741062276529264,-0.0579031814705071,-0.0255841988885917,-0.0377336126988365,,,,,
-0.065376219131809,-0.0375691759552082,-0.066112723951772,-0.0387173398600665,-0.0207748862597951,-0.0255379596437578,,,,,
-0.056772684367708,-0.0264274951958646,-0.0572417507978016,-0.0192481383102763,-0.0157164172602514,-0.0129903174576427,,,,,
-0.0475933926263507,-0.0147532943723481,-0.0476159923182072,0.0001435859782019,-0.0105009238465919,-0.0002612123834548,,,,,
-0.037933829080098,-0.0027127236237671,-0.0373722456687356,0.0190966664825012,-0.0052217887634867,0.0124682839111159,,,,,
-0.0279035928065307,0.0095095631406066,-0.0266586231584946,0.0372606425420312,2.8675561984565948e-05,0.0250115439916688,,,,,
-0.0176240454473088,0.0217149340156899,-0.0156314955338625,0.0543064128749415,0.0051615083352881,0.0371817746481989,,,,,
-0.0072255487377995,0.0336960037775775,-0.0044522533921121,0.0699361188647733,0.0100932621226056,0.0487975681867973,,,,,
0.0031555943334124,0.0452423653777701,0.0067160312188093,0.0838919133623055,0.0147479693704966,0.0596883604493555,,,,,
0.0133803727638325,0.0561466074155697,0.0177119585982162,0.0959633267756926,0.0190588468261519,0.0696995411406235,,,,,
0.0233103548663945,0.0662103811070592,0.028379086823538,0.1059930041443066,0.0229696835657648,0.0786969785289962,,,,,
0.032810918268775,0.0752502783945524,0.0385690682099608,0.1138806495075845,0.0264358734261124,0.0865707523751811,,,,,
