51_16_beat1,51_16_beat2,51_15_beat3,51_15_beat4,51_68_beat5,51_68_beat6,51_68_beat7,51_68_beat8,51_84_beat9,51_84_beat10,51_84_beat11,51_14_beat12,51_14_beat13,51_14_beat14,51_19_beat15,51_19_beat16,51_64_beat17,51_64_beat18,51_79_beat19,51_79_beat20,51_79_beat21,51_46_beat22,51_56_beat23,51_56_beat24,51_85_beat25,51_85_beat26,51_85_beat27,51_77_beat28,51_77_beat29,51_77_beat30,51_77_beat31,51_36_beat1,51_36_beat2,51_10_beat3,51_10_beat4
-0.0545707755316848,-0.0411642115799509,-0.0217870193391728,-0.0723325276080788,-0.0675532655030166,-0.1862244018333765,-0.0693983390961863,-0.0376488551886534,-0.0841570807900119,-0.0588036237014645,-0.0516934354008765,-0.0909020182097337,-0.0249624743604276,-0.0474398097951128,0.0214089462887582,-0.0654370366867941,-0.0428082806624266,-0.0992976360767475,0.0072766749617581,-0.0321311343010074,-0.1424980396415185,-0.1059588181840324,-0.0167784327229512,-0.0361474119476889,0.0937240395236843,-0.0238518239608043,-0.0602869382084723,-0.0778519979648169,-0.0643069027282638,-0.0450613885526656,-0.0676025881696271,,,,
-0.0534636399555125,-0.0422349447717444,-0.0221027520496611,-0.0723901058439085,-0.0690643239213728,-0.1846945873361838,-0.0664304500102756,-0.0365807292959677,-0.0798690745954474,-0.0601692220964472,-0.048036724806663,-0.0831786408865526,-0.0274303368959445,-0.0451541015342161,0.0256267631952918,-0.0655636889106945,-0.0444327341235076,-0.0986726089818765,0.0106076023229921,-0.0351549101320491,-0.1305963771734146,-0.1023596167410889,-0.016816674760209,-0.0360699201869558,0.1100970560889657,-0.0258135905710347,-0.0589692510364501,-0.0790980914885461,-0.0606472928688564,-0.0471217460946936,-0.0665225796698954,,,,
-0.0516410029353734,-0.0427625808500371,-0.0223811278067524,-0.0715244524866244,-0.0700268721436756,-0.1810014913430047,-0.0631023804969807,-0.0350097862905228,-0.0743591625749868,-0.0608993048579296,-0.0434596911405224,-0.0746711197523697,-0.0296643566533656,-0.0423119587152369,0.0300006186195214,-0.0650783552204005,-0.0456021820502676,-0.097218300278852,0.0140648856379687,-0.0375531231401098,-0.1173465988996085,-0.0976139896617371,-0.0166734380397145,-0.0356463517987924,0.1265283532955664,-0.027477379679762,-0.056716088937958,-0.0798341906175906,-0.0561661970342962,-0.0485540263273178,-0.0642322490724493,,,,
-0.0490902994591253,-0.04271630050948,-0.0225842191874215,-0.0696774146312461,-0.0703367209952749,-0.1750324793061221,-0.059329320153602,-0.0329315741732687,-0.0676567830867827,-0.0609221447004944,-0.0379772706396116,-0.0655016736100206,-0.0315423879474893,-0.0388899162503087,0.0346269019366883,-0.0639075382507009,-0.0462716501490415,-0.0949172044691833,0.0177557071196725,-0.0392023934470725,-0.1029185525287405,-0.0917946893350262,-0.0163350450281245,-0.0348673622188846,0.1430039521650073,-0.0288163147036021,-0.0534754443350831,-0.079981037575355,-0.0508811604835256,-0.0492517866834796,-0.0607351914611082,,,,
-0.0458158892040594,-0.0420733330013,-0.0226758169166537,-0.0668065869337141,-0.0698964124967564,-0.1667142424554338,-0.0550273305917055,-0.0303539267745561,-0.0598224641329509,-0.0601761749941133,-0.0316287815504369,-0.055809676649635,-0.0329463851066934,-0.0348818933065528,0.0395882436509228,-0.0619830008358864,-0.0464040847976197,-0.0917730585514205,0.0217766200609628,-0.0399883256185701,-0.0875051111632135,-0.0850071464751928,-0.0157918859225909,-0.0337321618911183,0.1594992909953655,-0.0298084211683736,-0.0492156326908342,-0.0794665774034322,-0.0448304402946903,-0.0491172330722677,-0.0560674416199579,,,,
-0.0418394471455622,-0.0408205965774555,-0.0226229397113306,-0.0628878127910903,-0.0686200010756836,-0.1560175986367433,-0.0501181976809981,-0.0272980078096073,-0.050947703682988,-0.0586127745407862,-0.0244782373818485,-0.0457478688575623,-0.033766663148772,-0.0303005147381317,0.0449480887293562,-0.0592446753305149,-0.045971676793175,-0.0878116232671882,0.0262087353349217,-0.0398107861149575,-0.0713179661556963,-0.0773858511289553,-0.0150390456073364,-0.0322488102782902,0.1759754172613051,-0.0304376374098989,-0.0439287283360272,-0.078228930022802,-0.0380730934854798,-0.0480652451501333,-0.0502968755929478,,,,
-0.0371997849416141,-0.0389562251848574,-0.0223972351680387,-0.0579173276553853,-0.0664377359228308,-0.1429613866331442,-0.0445342828743197,-0.0237988695806944,-0.0411538042635195,-0.0561988162906952,-0.0166137905359504,-0.0354781461546482,-0.0339059883710688,-0.0251776914643346,0.0507462153922345,-0.0556437252756051,-0.0449570193704441,-0.0830807580578146,0.0311136314960572,-0.0385890399434045,-0.0545830399341389,-0.0690896836693674,-0.0140767873942956,-0.0304342240121246,0.1923761204086757,-0.0306946886972657,-0.0376333238278106,-0.0762192015300055,-0.0306883521317562,-0.0460272131979024,-0.0435215445553682,,,,
-0.0319521141421164,-0.0364908857992322,-0.0219762148216383,-0.0519134190383776,-0.0633004557422872,-0.1276151987434194,-0.0382231472111943,-0.0199054424926349,-0.0305896498324423,-0.0529188700327259,-0.0081462773421243,-0.0251670960132473,-0.0332833385294536,-0.0195644245934207,0.0569954350246118,-0.0511456360266032,-0.043354071251956,-0.0776497605861828,0.0365301738068908,-0.0362664976337755,-0.0375356371595583,-0.0602964129284337,-0.012910867288383,-0.0283138967973613,0.2086262221116619,-0.0305777847732211,-0.0303764447822843,-0.0734040294573388,-0.0227742757507623,-0.0429545321188811,-0.0358670069241418,,,,
-0.0261667837927053,-0.0334487891631059,-0.0213442697068167,-0.0449174894771546,-0.0591835013704923,-0.110100730123329,-0.031151724026868,-0.0156799008635638,-0.0194284568677446,-0.0487769531466527,0.0007931264492742,-0.0149814498226638,-0.0318371797204342,-0.013529832402305,0.0636796447609585,-0.0457331835824455,-0.041168896360599,-0.0716079667575796,0.0424723777658382,-0.0328148215366105,-0.0204154532640708,-0.0511966057768181,-0.0115526585517981,-0.0259213403211829,0.2246311604616239,-0.0300931047679739,-0.0222344793563682,-0.0697677563464331,-0.0144457034820737,-0.038821600518302,-0.0274827596862287,,,,
-0.0199275437358892,-0.0298683025273244,-0.0204934192051194,-0.0369944282143508,-0.0540899534407728,-0.0905915760071051,-0.0233098300499553,-0.0111963871280105,-0.0078635784940126,-0.0437977329598209,0.010056088429541,-0.0050836207205384,-0.0295281235957354,-0.0071594346530417,0.0707533322302332,-0.0394091110302547,-0.038420149888848,-0.0650626353625144,0.0489283982624755,-0.0282371528109902,-0.0034615572254933,-0.0419872075654878,-0.0100190737912685,-0.023297265690005,0.2402779184126228,-0.0292550394240258,-0.013313015633168,-0.0653141300747888,-0.005831561367436,-0.0336281827580339,-0.0185379016354904,,,,
-0.0133294002653346,-0.0258020861487861,-0.0194237556145769,-0.0282322239840054,-0.0480530120405833,-0.0693113753163753,-0.0147128291655292,-0.0065391176457162,0.0038965128981197,-0.0380270994487671,0.0194810443263926,0.0043725141397085,-0.0263408530539105,-0.0005527630239721,0.0781425557824874,-0.0321983328589855,-0.035139277593116,-0.0581361716661904,0.0558606685646575,-0.022570248512397,0.0130925388339845,-0.0328650568112841,-0.0083322805846484,-0.0204885332487091,0.2554372608541399,-0.0280861686032062,-0.0037455213933805,-0.0600674392504839,0.0029283887234629,-0.0274010093589497,-0.0092161879877809,,,,
-0.0064761427307116,-0.0213166954347633,-0.0181435595994077,-0.0187407837067167,-0.0411373539145926,-0.0465302757029267,-0.0054032975604055,-0.0017999349715448,0.015633896748376,-0.0315320474496827,0.0288977250541129,0.013245443960842,-0.0222852351669584,0.0061796019520057,0.0857473467160168,-0.0241494912878592,-0.031370394870596,-0.0509627745832198,0.0632071563647893,-0.0158853614197348,0.029023615695863,-0.0240205918297813,-0.0065192164385712,-0.0175469049232411,0.2699671641849506,-0.0266169621029619,0.0063091507000644,-0.054073008212631,0.0116872439157126,-0.0201945151869143,0.0002893436725019,,,,
0.0005223716094064,-0.0164916170548495,-0.0166690771189251,-0.0086499581662747,-0.0334393311875874,-0.0225597747945817,0.0045484184646703,0.0029245902520878,0.0271273266026032,-0.0243998320624826,0.0381321093886177,0.0214093454480509,-0.017396574825224,0.0129194399643079,0.0934454058836218,-0.0153357075448264,-0.0271698166052369,-0.0436846205404409,0.0708836503446489,-0.0082877514257339,0.0441231868255326,-0.0156319923584523,-0.00461091894638,-0.0145276377018488,0.2837172514886493,-0.0248852035379613,0.0166703952025733,-0.047396998336455,0.0202949611319529,-0.0120906442049125,0.0097819826771768,,,,
0.0075530814217629,-0.0114177384180609,-0.0150239657540463,0.001893186376842,-0.025085914485865,0.0022539304370271,0.0150448120285574,0.0075363726162216,0.0381585758890155,-0.0167363889483673,0.0470115995819759,0.0287567974648352,-0.0117349996041618,0.019544598292407,0.101096899680954,-0.0058544055589801,-0.0226052182896591,-0.0364477219687625,0.0787869437439701,8.521685639031102e-05,0.0582015470690422,-0.0078599752315435,-0.0026416965542949,-0.0114879599860692,0.2965339889819341,-0.0229351497183141,0.0271405287911652,-0.0401254892926573,0.0286025099372802,-0.0031976835797215,0.0190669906297272,,,,
0.0145026374152543,-0.0061952830726524,-0.0132384361672343,0.0127277745231027,-0.0162323327250283,0.0275378844875071,0.025962999919344,0.0119391820936429,0.048518765300204,-0.0086640427193891,0.0553702036863685,0.0352008188718585,-0.0053840038483503,0.0259328380680867,0.1085501046050642,0.0041738656274193,-0.0177544227154867,-0.0293976174233671,0.0867987438305627,0.0090673641618973,0.0710913444761188,-0.0008434294371511,-0.0006481735050174,-0.0084854748821746,0.3082663584685565,-0.0208164505866694,0.0375103566988887,-0.0323628439896534,0.0364660163014565,0.0063518714442683,0.0279570867842836,,,,
0.0212602730517124,-0.0009312770526449,-0.0113481311155267,0.0236830957117015,-0.0070584205770832,0.0529013435945312,0.0371576346861923,0.0160420003228476,0.0580144276525095,-0.0003185608530492,0.0630535075176096,0.0406761876414067,0.0015517842359527,0.0319656572961274,0.1156476093933236,0.014607625316568,-0.0127038232092864,-0.0226750611401632,0.0947901092087708,0.0184682756584467,0.0826505997508291,0.0053039672574567,0.0013317514094945,-0.0055765367119057,0.3187716983533255,-0.018582866248518,0.0475654270247998,-0.0242293921492818,0.0437507386818304,0.0164043777917453,0.0362775894250388,,,,
0.0277205331965073,0.0042633595336129,-0.0093927984667269,0.0345830062639392,0.0022362502492486,0.0779454691685548,0.0484648441829584,0.0197621919073308,0.066473076280644,0.0081543546829039,0.0699232308716127,0.0451400285634779,0.0089495168359298,0.0375319341849962,0.1222327613614173,0.0252876213189192,-0.0075464725589726,-0.0164118809356098,0.1026262012468948,0.0280790014022641,0.0927651086448207,0.0104960587830825,0.0032599891726982,-0.0028146497536715,0.3279214031753572,-0.0162908270203835,0.0570927257765169,-0.0158584979452818,0.0503347291765666,0.0267889410460829,0.0438710483534301,,,,
0.0337857682458331,0.0092769774198232,-0.0074148249114353,0.0452505972395401,0.0114383130010628,0.1022734084562593,0.0597070478805672,0.0230283305180845,0.0737480650166284,0.016603013754302,0.0758611860001198,0.0485716860661257,0.0166716001787665,0.042531247940408,0.1281560393153229,0.0360408452269377,-0.0023798852805902,-0.0107271651390259,0.1101711321384937,0.0376786496634867,0.101350173778173,0.0146754120502723,0.0050993440414239,-0.0002489419610638,0.3356061878417779,-0.0139978893334419,0.0658875345750669,-0.0073931053373569,0.0561120506534841,0.037322016121251,0.0506012273482583,,,,
0.0393683094248865,0.0140004842876728,-0.005457702830223,0.0555129510622573,0.0203274149725932,0.1255004144011037,0.0706984549658472,0.025782540588593,0.0797225601028853,0.0248739717367587,0.080772489364838,0.0509719264218777,0.0245695858815504,0.0468767549808283,0.1332810487934324,0.046685235437686,0.0026963813940532,-0.0057239230549014,0.1172927001802801,0.0470415959993475,0.108351624393542,0.0178134272260964,0.0068145539326573,0.0020772293243278,0.3417406556423455,-0.0117611448441192,0.0737601563242316,0.0010181207475807,0.0609954433694158,0.0478125428268114,0.0563563223221166,,,,
