50_59_beat1,50_59_beat2,50_59_beat3,50_59_beat4,50_59_beat5,50_59_beat6,50_32_beat7,50_32_beat8,50_32_beat9,50_32_beat10
-0.2820249690855871,0.2022777252527655,0.0530173543802437,-0.1986796099741162,-0.2194105549745618,-0.2070867905543874,-0.1869332623124312,-0.2036106672043632,-0.2167939871266915,-0.1028853741542583
-0.2880198438784185,0.2129146184627593,0.0590366949349876,-0.186712391043658,-0.2276589884247294,-0.1865263845013695,-0.1885848177065197,-0.1984851682221872,-0.1979854340932753,-0.0946951330204979
-0.2896768259643109,0.2248214416061239,0.0689567881655213,-0.1718731034880959,-0.2332221436151945,-0.1620978073245678,-0.1867728156840117,-0.1898921590640159,-0.1762070162071702,-0.083567330828832
-0.2868186006360335,0.2379368957613734,0.0826243486193136,-0.1544783793647747,-0.235881155660475,-0.1340662373106104,-0.1814244933519949,-0.1779329410927141,-0.1517671950421652,-0.069689450819688
-0.2793502391102131,0.2521593775896043,0.0997931193431533,-0.1348995652564305,-0.2354527532377472,-0.102775459358046,-0.172514908457855,-0.162769158758489,-0.125040477047508,-0.0532907544838738
-0.2672634085118995,0.2673518006787749,0.120125701426979,-0.113557830767443,-0.2318022364916477,-0.0686478776911599,-0.1600738314966461,-0.1446264119940078,-0.0964646480571431,-0.0346421150752014
-0.2506400837574754,0.2833471311150183,0.1431983283540063,-0.090917050425087,-0.2248560933933041,-0.0321822501115657,-0.1441924095316667,-0.1237963067623139,-0.0665352337922149,-0.014054953180816
-0.2296555068485452,0.2999544236984869,0.1685086337418378,-0.0674745373899738,-0.2146133887421848,0.0060512283883737,-0.1250289927863192,-0.1006364487098142,-0.0357970829133155,0.0081210501485677
-0.2045800718827477,0.3169651195840812,0.1954863220299601,-0.0437498631995963,-0.2011550762057838,0.0454187433016402,-0.1028134995079391,-0.0755679726816424,-0.0048331607829448,0.0315017178852723
-0.1757797671040979,0.334159344990683,0.2235065031430589,-0.0202721454624175,-0.1846504581889912,0.0852336723414192,-0.0778497269726676,-0.0490703300582043,0.0257491568766127,0.0556737720364947
