Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12,Segment_13,Segment_14,Segment_15,Segment_16,Segment_17,Segment_18,Segment_19,Segment_20,Segment_21,Segment_22,Segment_23,Segment_24,Segment_25,Segment_26,Segment_27,Segment_28,Segment_29,Segment_30,Segment_31,Segment_32,Segment_33,Segment_34,Segment_35,Segment_36,Segment_37,Segment_38,Segment_39,Segment_40,Segment_41,Segment_42,Segment_43,Segment_44,Segment_45,Segment_46,Segment_47,Segment_48,Segment_49,Segment_50,Segment_51,Segment_52,Segment_53,Segment_54,Segment_55,Segment_56,Segment_57,Segment_58,Segment_59,Segment_60,Segment_61,Segment_62,Segment_63,Segment_64,Segment_65,Segment_66,Segment_67,Segment_68,Segment_69,Segment_70,Segment_71,Segment_72,Segment_73,Segment_74,Segment_75,Segment_76,Segment_77,Segment_78,Segment_79,
-82.499598,57.847044,-488.137798,1665.243894,-764.222516,1336.300081,-903.183640,343.490532,-569.611477,-563.395830,1522.885131,-844.103444,-412.337361,975.024864,-372.856382,-648.598917,126.336012,1240.492455,-1049.243042,-482.297632,957.193455,-186.944506,-593.222324,494.384359,-768.379569,-366.466623,1113.146198,-595.223376,724.224807,-932.454475,-206.208627,1418.206140,-738.477017,-27.343403,1376.103364,-936.464003,77.062216,-458.417031,-113.311011,188.169424,-617.140837,1469.957762,-609.409658,1373.711931,-932.008531,591.462874,-924.097802,-79.449930,233.408732,-665.278199,733.510337,-877.503910,-357.311052,1268.256723,-1027.786310,-296.347138,1465.355507,-1044.095030,-294.782948,1668.939417,-875.560271,-407.109019,1480.359235,-861.162278,283.010475,548.378163,-862.285809,-147.731807,1576.356606,-791.082758,36.531930,1351.942060,-258.510092,707.361604,-939.321161,-78.751698,663.316982,-707.812401,933.256900,
-115.270286,161.093990,-512.382152,1664.220007,-780.753772,1254.854808,-919.801097,297.849989,-454.596151,-585.353116,1448.636593,-830.374237,-438.734983,891.771106,-239.854691,-666.144854,76.488825,1319.249061,-1062.161751,-511.402815,884.046898,-60.025862,-608.289662,432.702728,-671.779974,-396.007164,1217.707697,-614.089207,645.908674,-929.071898,-238.152881,1461.905931,-754.875963,-55.373400,1395.436947,-955.906090,36.328402,-344.597431,-148.858192,359.936677,-643.631583,1535.785477,-628.060348,1326.222696,-952.401247,528.355442,-912.889840,-120.736860,398.141178,-684.054477,668.464972,-835.800924,-380.517342,1209.675537,-1029.142937,-327.101245,1398.584870,-1044.349383,-327.085151,1638.524136,-882.014650,-438.333220,1490.265904,-883.423944,231.864152,711.413431,-879.232389,-181.388873,1610.380694,-810.459666,-8.948394,1475.910221,-194.423827,651.187163,-937.091694,-112.739602,820.957712,-722.771335,853.189987,
-146.388132,267.164041,-535.284160,1647.921017,-797.073575,1171.075212,-934.908434,253.865387,-326.945725,-605.958433,1369.846610,-808.569913,-463.485532,809.689171,-95.786372,-683.658549,28.407359,1380.983645,-1071.595856,-538.849014,813.103954,75.451581,-623.188000,374.358982,-561.395692,-424.274995,1305.757425,-633.419786,570.580062,-919.594645,-269.341774,1488.224679,-770.574907,-82.535151,1398.692387,-974.849467,-3.283019,-217.889418,-183.437038,529.286510,-668.826239,1583.662128,-646.337657,1269.666272,-972.449987,468.115261,-893.273455,-160.931791,560.507053,-702.326919,605.309213,-782.427781,-402.924028,1144.255813,-1023.872848,-356.862187,1326.241604,-1037.529073,-358.503934,1595.378216,-885.560477,-468.507687,1484.327950,-905.851582,182.673624,868.726555,-895.532584,-214.151017,1626.153378,-830.072257,-52.968112,1583.593082,-122.221717,598.347165,-928.570786,-145.925152,970.632667,-736.852052,775.172122,
-176.110294,374.107923,-556.902415,1617.795058,-813.247763,1086.262472,-947.991691,211.267028,-188.186864,-625.329986,1287.998180,-777.482122,-486.531805,729.588193,57.213101,-701.270908,-18.110347,1425.609778,-1076.657577,-564.736725,744.709173,217.304287,-637.996930,319.368670,-437.948876,-451.261755,1376.333474,-653.432149,498.529998,-902.802917,-299.730647,1497.830974,-785.183697,-108.886702,1387.016948,-992.850055,-41.884123,-79.591295,-216.920834,692.835640,-692.777927,1613.908424,-664.393154,1205.801364,-991.860452,410.511938,-863.984214,-199.947873,717.137731,-720.218288,544.451669,-716.459763,-424.555483,1073.644276,-1010.715672,-385.557343,1250.018289,-1022.464774,-388.979240,1541.202928,-885.205135,-497.595682,1463.828691,-928.208248,135.210643,1017.064724,-910.728963,-246.015274,1624.707402,-849.655714,-95.702907,1673.381926,-43.107097,548.721293,-912.650228,-178.278682,1109.402382,-750.230971,699.771039,
-204.668994,479.903876,-577.329167,1575.435695,-829.340881,1001.563150,-958.411900,169.795711,-40.371208,-643.598306,1204.444068,-735.927814,-507.879936,652.080627,216.529011,-719.084400,-63.219737,1453.448202,-1076.370629,-589.192745,679.076043,362.976391,-652.790115,267.618156,-302.715893,-476.983555,1428.994922,-674.306805,429.897532,-877.410477,-329.262502,1491.709907,-798.243823,-134.483825,1361.777071,-1009.347688,-79.546101,68.472809,-249.201323,847.397246,-715.551256,1627.233915,-682.357742,1136.351783,-1010.252870,355.266034,-823.780574,-237.685751,864.849612,-737.855515,486.154683,-637.195386,-445.442638,999.427283,-988.389380,-413.129465,1171.464253,-997.975416,-418.459154,1477.742116,-879.831190,-525.565408,1430.222586,-950.164253,89.272406,1153.486175,-924.259887,-276.970244,1607.369469,-868.858779,-137.264517,1744.259543,41.369108,502.082310,-888.210465,-209.766334,1234.756070,-763.088223,627.359823,
-232.262146,582.530891,-596.680542,1522.526337,-845.424482,917.951471,-965.395992,129.213237,113.975112,-660.903288,1120.383689,-682.814592,-527.599935,577.590888,379.165769,-737.170822,-107.024083,1465.166923,-1069.679551,-612.364610,616.306730,509.652740,-667.633634,218.894728,-157.522228,-501.485575,1463.786020,-696.176046,364.688722,-842.112287,-357.878626,1471.100427,-809.224719,-159.378596,1324.498751,-1023.664349,-116.304232,224.012046,-280.192908,990.092270,-737.221227,1624.671216,-700.333624,1062.965057,-1027.150729,302.074266,-771.508572,-274.043844,1000.782161,-755.372847,430.551624,-544.240001,-465.620339,923.088498,-955.631128,-439.543077,1091.951289,-962.901980,-446.901665,1406.735967,-868.216275,-552.398064,1385.076350,-971.286723,44.688169,1275.483031,-935.450561,-307.003565,1575.682004,-887.230193,-177.699659,1795.799584,129.352623,458.131701,-854.160323,-240.351549,1344.678039,-775.605135,558.133700,
-259.044033,680.044505,-615.085062,1460.791073,-861.581348,836.217220,-968.035370,89.311100,271.942869,-677.395007,1036.842625,-617.219088,-545.819054,506.371225,541.879460,-755.569132,-149.572662,1461.717994,-1055.463751,-634.411915,556.414455,654.398093,-682.583385,172.918755,-4.691125,-524.845190,1481.182929,-719.112397,302.800424,-795.647027,-385.524326,1437.436602,-817.522207,-183.614750,1276.811776,-1035.005981,-152.164456,384.355966,-309.834908,1118.443868,-757.871306,1607.505630,-718.389324,987.173094,-1041.972838,250.632935,-706.177912,-308.928113,1122.509700,-772.911397,377.668033,-437.592108,-485.125242,845.970441,-911.246848,-464.790271,1012.647868,-916.153582,-474.279123,1329.882025,-849.063288,-578.093616,1330.020188,-991.033452,1.324765,1381.069998,-943.506588,-336.106836,1531.331963,-904.202464,-216.995353,1828.137124,218.758482,416.533698,-809.487723,-269.993469,1437.674943,-787.963412,492.136146,
-285.119033,770.654008,-632.673508,1391.950647,-877.903958,756.962418,-965.294211,49.918291,430.369835,-693.235815,954.659888,-538.473621,-562.709465,438.521009,701.331166,-774.282654,-190.864976,1444.275933,-1032.559628,-655.497424,499.344884,794.304245,-697.681502,129.374300,153.051697,-547.171503,1482.030560,-743.119832,244.048159,-736.873700,-412.150657,1392.293860,-822.458484,-207.221611,1220.397726,-1042.468285,-187.110423,546.552823,-338.093590,1230.452750,-777.590478,1577.204763,-736.557307,910.356871,-1054.028745,200.660139,-627.045644,-342.261373,1228.120962,-790.611691,327.441925,-317.720733,-503.995341,769.242424,-854.173101,-488.894628,934.506113,-856.767446,-500.582560,1248.802944,-821.040195,-602.672485,1266.708276,-1008.750594,-40.909145,1468.835949,-947.512993,-364.276123,1476.089599,-919.078945,-255.089174,1841.915354,307.366069,376.944052,-753.321761,-298.645421,1512.780494,-800.343837,429.289427,
-310.540174,852.791231,-649.572652,1317.682117,-894.486616,680.607493,-956.026415,10.906411,585.995575,-708.600501,874.484490,-446.254402,-578.473033,374.010100,854.247903,-793.274634,-230.860428,1414.180302,-999.791923,-675.780688,444.994656,926.629282,-712.952734,87.934992,312.706805,-568.600940,1467.474977,-768.127310,188.194349,-664.858688,-437.714970,1337.339977,-823.282797,-230.211487,1156.941136,-1045.047540,-221.110531,707.478910,-364.964027,1324.644515,-796.472138,1535.352038,-754.834736,833.720507,-1062.514989,151.914870,-533.701316,-373.991099,1316.260007,-808.601552,279.740122,-185.619621,-522.271395,693.878194,-783.551165,-511.912491,858.262226,-783.980710,-525.824097,1165.019176,-782.829780,-626.173125,1196.785757,-1023.673029,-82.062286,1537.957606,-946.440191,-391.507631,1411.756384,-931.026884,-291.882082,1838.214460,392.926706,339.031357,-685.003810,-326.255585,1569.544210,-812.923416,369.424964,
-335.313484,925.162676,-665.903823,1239.580585,-911.410742,607.405388,-938.999183,-27.809659,735.622097,-723.673325,796.780210,-340.664362,-593.326628,312.706033,997.576243,-812.462178,-269.490483,1372.885110,-956.015977,-695.414435,393.226689,1048.916801,-728.401264,48.284299,471.140974,-589.290472,1438.895436,-793.984755,134.974214,-578.968400,-462.182712,1274.289591,-819.174650,-252.582361,1088.084056,-1041.656666,-254.123566,863.965730,-390.470635,1400.086252,-814.615726,1483.587481,-773.188235,758.277276,-1066.512409,104.209284,-426.144628,-404.094921,1386.127923,-826.983756,234.373068,-42.827961,-539.999022,620.644761,-698.811155,-533.930450,784.448805,-697.311892,-550.037086,1079.924439,-733.191495,-648.647274,1121.859015,-1034.927105,-122.145188,1588.178175,-939.157473,-417.791435,1340.119644,-939.076190,-327.252209,1818.468702,473.272414,302.492036,-604.164083,-352.770235,1608.002331,-825.870231,312.312092,
